University,Total_number_of_Spin_outs,Spin_outs_List,Total_students,Total_number_of_applications,Application_title,Espacenet_link,Filing_year,Patent_status,Technical_field
Karlsruhe Institute of Technology,6,"Robodev GmbH, Renumics, Kamedi, emmtrix Technologies, ArtiMinds Robotics, Vanguard Photonics",21848,1269,Spring Member.,https://worldwide.espacenet.com/patent/search?q=EP80100298A,1/22/80,EP granted,Other
Karlsruhe Institute of Technology,6,"Robodev GmbH, Renumics, Kamedi, emmtrix Technologies, ArtiMinds Robotics, Vanguard Photonics",21848,1269,Method And Device For Automatically Focusing An Image.,https://worldwide.espacenet.com/patent/search?q=EP80100797A,2/18/80,EP granted,Other
Karlsruhe Institute of Technology,6,"Robodev GmbH, Renumics, Kamedi, emmtrix Technologies, ArtiMinds Robotics, Vanguard Photonics",21848,1269,"Process For Manufacturing Slot-Nozzle Elements For Separating Gaseous Or Vaporous Mixtures, Especially Isotope Mixtures.",https://worldwide.espacenet.com/patent/search?q=EP80102603A,5/10/80,EP granted,Other
Karlsruhe Institute of Technology,6,"Robodev GmbH, Renumics, Kamedi, emmtrix Technologies, ArtiMinds Robotics, Vanguard Photonics",21848,1269,Dosimeter For The Detection Of Radon And/Or Thoron And Their Daughters.,https://worldwide.espacenet.com/patent/search?q=EP80102962A,5/28/80,EP granted,Other
Karlsruhe Institute of Technology,6,"Robodev GmbH, Renumics, Kamedi, emmtrix Technologies, ArtiMinds Robotics, Vanguard Photonics",21848,1269,Container Provided With A Lid.,https://worldwide.espacenet.com/patent/search?q=EP80103623A,6/26/80,Refused / Withdrawn,Other
Karlsruhe Institute of Technology,6,"Robodev GmbH, Renumics, Kamedi, emmtrix Technologies, ArtiMinds Robotics, Vanguard Photonics",21848,1269,"Process For Manufacturing Separating Nozzles For Separating Gaseous Or Vaporous Mixtures, Particularly Isotopic Mixtures, And Separating Nozzles Produced According To This Process.",https://worldwide.espacenet.com/patent/search?q=EP80103921A,7/9/80,EP granted,Other
Karlsruhe Institute of Technology,6,"Robodev GmbH, Renumics, Kamedi, emmtrix Technologies, ArtiMinds Robotics, Vanguard Photonics",21848,1269,Plasma And Ion Source.,https://worldwide.espacenet.com/patent/search?q=EP80105360A,9/8/80,EP granted,Other
Karlsruhe Institute of Technology,6,"Robodev GmbH, Renumics, Kamedi, emmtrix Technologies, ArtiMinds Robotics, Vanguard Photonics",21848,1269,Process For Preparing Bodies Containing Highly Radioactive Wastes.,https://worldwide.espacenet.com/patent/search?q=EP80102963A,5/28/80,EP granted,Other
Karlsruhe Institute of Technology,6,"Robodev GmbH, Renumics, Kamedi, emmtrix Technologies, ArtiMinds Robotics, Vanguard Photonics",21848,1269,Device For The Gas Tight Fitting Of A Round Cover Or Flanged Ring In A Corresponding Aperture.,https://worldwide.espacenet.com/patent/search?q=EP80106159A,10/10/80,EP granted,Other
Karlsruhe Institute of Technology,6,"Robodev GmbH, Renumics, Kamedi, emmtrix Technologies, ArtiMinds Robotics, Vanguard Photonics",21848,1269,Process For Fixation Of Radioactive Krypton In Zeolites For Ultimate Disposal.,https://worldwide.espacenet.com/patent/search?q=EP80103117A,6/4/80,EP granted,Other
Karlsruhe Institute of Technology,6,"Robodev GmbH, Renumics, Kamedi, emmtrix Technologies, ArtiMinds Robotics, Vanguard Photonics",21848,1269,Method Of Desorbing Fission Iodine From A Nitric-Acidic Fuel Solution.,https://worldwide.espacenet.com/patent/search?q=EP80106369A,10/20/80,EP granted,Other
Karlsruhe Institute of Technology,6,"Robodev GmbH, Renumics, Kamedi, emmtrix Technologies, ArtiMinds Robotics, Vanguard Photonics",21848,1269,Device For Incorporating Radioactive Waste In Concrete In Waste Containers.,https://worldwide.espacenet.com/patent/search?q=EP80106603A,10/28/80,EP granted,Other
Karlsruhe Institute of Technology,6,"Robodev GmbH, Renumics, Kamedi, emmtrix Technologies, ArtiMinds Robotics, Vanguard Photonics",21848,1269,Method For Detecting Alpha And/Or Beta Particles.,https://worldwide.espacenet.com/patent/search?q=EP80107849A,12/12/80,EP granted,Other
Karlsruhe Institute of Technology,6,"Robodev GmbH, Renumics, Kamedi, emmtrix Technologies, ArtiMinds Robotics, Vanguard Photonics",21848,1269,"Process For Removing Adherent, Notably Pulverulent Deposits In Apparatuses Treating Uranium Hexafluoride.",https://worldwide.espacenet.com/patent/search?q=EP80107475A,11/29/80,EP granted,Other
Karlsruhe Institute of Technology,6,"Robodev GmbH, Renumics, Kamedi, emmtrix Technologies, ArtiMinds Robotics, Vanguard Photonics",21848,1269,Process For The Production Of Composite Materials Consisting Of Substrates And Metal Layers Of Metastable Or Instable Phases Adhering To Their Surfaces.,https://worldwide.espacenet.com/patent/search?q=EP80101648A,3/27/80,EP granted,Other
Karlsruhe Institute of Technology,6,"Robodev GmbH, Renumics, Kamedi, emmtrix Technologies, ArtiMinds Robotics, Vanguard Photonics",21848,1269,Apparatus For Chemically Digesting Hardly Soluble Chemical Substances And/Or For Oxidizing Organic Waste Materials Containing Said Substances.,https://worldwide.espacenet.com/patent/search?q=EP80107735A,12/9/80,EP granted,Other
Karlsruhe Institute of Technology,6,"Robodev GmbH, Renumics, Kamedi, emmtrix Technologies, ArtiMinds Robotics, Vanguard Photonics",21848,1269,Single-Acting Piston Pump For Liquid Helium.,https://worldwide.espacenet.com/patent/search?q=EP81103077A,4/24/81,Refused / Withdrawn,Other
