applicant,type
ZYLUM BETEILIGUNGSGESELLSCHAFT MBH & CO. PATENTE II KG,Industry/Other
Technische Universität Chemnitz,University
"TECHNISCHE UNIVERSITAET CHEMNITZ,",University
"PAPIER IN FORM UND FARBE GMBH,",Industry/Other
"Universität Innsbruck,",University
TECHNISCHE UNIVERSITAET CHEMNITZ,University
PAPIER IN FORM UND FARBE GMBH [DE],Industry/Other
RICHTER & HESS VERPACKUNGS SERVICE GMBH [DE],Industry/Other
UNIV CHEMNITZ TECH [DE],Industry/Other
VOLKSWAGEN AG [DE],Industry/Other
"Fraunhofer-Gesellschaft zur Förderung der angewandten Forschung e.V,",Industry/Other
LiGenium GmbH,Industry/Other
CETEX INST GGMBH [DE],Industry/Other
FRAUNHOFER GES FORSCHUNG [DE],Industry/Other
IBIDI GMBH [DE],Industry/Other
richter & heß VERPACKUNGS-SERVICE GmbH,Industry/Other
EINS ENERGIE IN SACHSEN GMBH & CO KG [DE],Industry/Other
TECHNISCHE UNIVERSITÄT CHEMNITZ [DE],University
UNIVERSITÄT INNSBRUCK [AT],University
"eins energie in sachsen GmbH & Co. KG,",Industry/Other
TECH UNIVERSITÄT CHEMNITZ [DE],University
"Technische Universität Chemnitz,",University
"EINS ENERGIE IN SACHSEN GMBH & CO. KG,",Industry/Other
"Papier in Form und Farbe GmbH,",Industry/Other
"Cetex Institut für Textil- und Verarbeitungsmaschinen gemeinnützige GmbH,",University
"FRAUNHOFER GESELLSCHAFT ZUR FOERDERUNG DER ANGEWANDTEN WISSENSCHAFT E.V,",Industry/Other
TECHNISCHE UNIVERSITÄT CHEMNITZ,University
"FRAUNHOFER GESELLSCHAFT ZUR FÖRDERUNG DER ANGEWANDTEN FORSCHUNG E.V,",Industry/Other
"Fraunhofer Gesellschaft zur Förderung der angewandten Forschung E.V,",Industry/Other
"UNIVERSITÄT ZU KÖLN,",University
ZYLUM BETEILIGUNGSGMBH & CO PATENTE II KG [DE],Industry/Other
"FRAUNHOFER-GESELLSCHAFT ZUR FOERDERUNG DER ANGEWANDTEN FORSCHUNG E.V,",Industry/Other
Cetex Institut gGmbH,University
CETEX INST FÜR TEXTIL- UND VERARBEITUNGSMASCHINEN GEMEINNÜTZIGE GMBH [DE],Industry/Other
VOLKSWAGEN AKTIENGESELLSCHAFT,Industry/Other
UNIVERSITÄT ZU KÖLN [DE],University
STADTWERKE CHEMNITZ AG [DE],Industry/Other
"IBIDI GMBH,",Industry/Other
"TECHNISCHE UNIVERSITÄT CHEMNITZ,",University
"richter & heß Verpackungs-Service GmbH,",Industry/Other
"FRAUNHOFER-GESELLSCHAFT ZUR FÖRDERUNG DER ANGEWANDTEN FORSCHUNG E.V,",Industry/Other
EINS EN IN SACHSEN GMBH & CO KG [DE],Industry/Other
"FRAUNHOFER-GESELLSCHAFT zur Förderung der angewandten Forschung e.V,",Industry/Other
LIGENIUM GMBH [DE],Industry/Other
"ibidi GmbH,",Industry/Other
"STADTWERKE CHEMNITZ AG,",Industry/Other
