ep_patent,filing_year,patent_status,technical_field,title,applicants,inventors,german_priorities,ipc_classes
EP05804010A,10/17/05,EP granted,Other,METHOD FOR THE PRODUCTION OF SUBSTITUTED PHOSPHANES,"['UNIV CHEMNITZ TECH\u2002[DE]', 'TECHNISCHE UNIVERSITAET CHEMNITZ,', 'ZYLUM BETEILIGUNGSGESELLSCHAFT MBH & CO. PATENTE II KG', 'ZYLUM BETEILIGUNGSGMBH & CO PATENTE II KG\u2002[DE]']","['THIEL WERNER\u2002[DE]', 'SUN YU\u2002[DE]', 'HIENZSCH ANTJE\u2002[DE]', 'THIEL, WERNER,', 'SUN, YU,', 'HIENZSCH, ANTJE']",[],"['C07F9/50AI', 'C07F9/53AI']"
EP07007535A,4/12/07,EP granted,Other,"Micro-actuator, method for displacing a fluid and method for manufacturing a micro-actuator","['UNIV CHEMNITZ TECH\u2002[DE]', 'TECHNISCHE UNIVERSITAET CHEMNITZ']","['NESTLER JOERG\u2002[DE]', 'HILLER KARLA\u2002[DE]', 'OTTO THOMAS\u2002[DE]', 'GESSNER THOMAS\u2002[DE]', 'NESTLER, JOERG,', 'HILLER, KARLA,', 'OTTO, THOMAS,', 'GESSNER, THOMAS']",[],[]
EP08400030A,5/23/08,EP granted,Other,Charging and/or discharging system and method for charging and/or discharging a thermal energy storage with an insert provided between the diffuser plates,"['STADTWERKE CHEMNITZ AG\u2002[DE]', 'UNIV CHEMNITZ TECH\u2002[DE]', 'STADTWERKE CHEMNITZ AG,', 'TECHNISCHE UNIVERSITAET CHEMNITZ,', 'EINS ENERGIE IN SACHSEN GMBH & CO. KG,', 'eins energie in sachsen GmbH & Co. KG,', 'Technische Universität Chemnitz', 'EINS EN IN SACHSEN GMBH & CO KG\u2002[DE]', 'EINS ENERGIE IN SACHSEN GMBH & CO KG\u2002[DE]', 'TECHNISCHE UNIVERSITÄT CHEMNITZ\u2002[DE]']","['URBANECK THORSTEN\u2002[DE]', 'UHLIG ULF\u2002[DE]', 'BARTHEL UWE\u2002[DE]', 'URBANECK THORSTEN,', 'UHLIG, ULF,', 'BARTHEL, UWE,', 'URBANECK DR.-ING, THORSTEN,', 'Urbaneck Dr.-Ing, Thorsten,', 'Uhlig, Ulf,', 'Barthel, Uwe', 'URBANECK DR-ING THORSTEN\u2002[DE]', 'URBANECK DR -ING THORSTEN\u2002[DE]']",[],[]
EP08400031A,5/23/08,EP granted,Other,Charging and/or discharging system and method for charging and/or discharging a thermal energy storage with an insert provided inside a diffuser,"['STADTWERKE CHEMNITZ AG\u2002[DE]', 'UNIV CHEMNITZ TECH\u2002[DE]', 'STADTWERKE CHEMNITZ AG,', 'TECHNISCHE UNIVERSITAET CHEMNITZ,', 'EINS ENERGIE IN SACHSEN GMBH & CO. KG,', 'eins energie in sachsen GmbH & Co. KG,', 'Technische Universität Chemnitz', 'EINS EN IN SACHSEN GMBH & CO KG\u2002[DE]', 'EINS ENERGIE IN SACHSEN GMBH & CO KG\u2002[DE]', 'TECHNISCHE UNIVERSITÄT CHEMNITZ\u2002[DE]']","['URBANECK THORSTEN\u2002[DE]', 'UHLIG ULF\u2002[DE]', 'BARTHEL UWE\u2002[DE]', 'URBANECK, THORSTEN,', 'UHLIG, ULF,', 'BARTHEL, UWE,', 'URBANECK, DR.-ING., THORSTEN,', 'Urbaneck, Dr.-Ing., Thorsten,', 'Uhlig, Ulf,', 'Barthel, Uwe', 'URBANECK DR-ING THORSTEN\u2002[DE]', 'URBANECK DR -ING THORSTEN\u2002[DE]']",[],[]
EP07725001A,5/9/07,Refused / Withdrawn,Other,MEMS VACUUM SENSOR BASED ON THE FRICTION PRINCIPLE,"['FRAUNHOFER GES FORSCHUNG\u2002[DE]', 'UNIV CHEMNITZ TECH\u2002[DE]', 'FRAUNHOFER-GESELLSCHAFT ZUR FOERDERUNG DER ANGEWANDTEN FORSCHUNG E.V,', 'TECHNISCHE UNIVERSITAET CHEMNITZ']","['KURTH STEFFEN\u2002[DE]', 'TENHOLTE DIRK\u2002[DE]', 'HILLER KARLA\u2002[DE]', 'KAUFMANN CHRISTIAN\u2002[DE]', 'GESSNER THOMAS\u2002[DE]', 'DOETZEL WOLFRAM\u2002[DE]', 'KURTH, STEFFEN,', 'TENHOLTE, DIRK,', 'HILLER, KARLA,', 'KAUFMANN, CHRISTIAN,', 'GESSNER, THOMAS,', 'DOETZEL, WOLFRAM']",[],"['G01L9/00AI', 'G01L21/22AI']"
EP08400007A,3/11/08,Refused / Withdrawn,Other,Micromechanical component with a mirror and its manufacturing method,"['FRAUNHOFER GES FORSCHUNG\u2002[DE]', 'UNIV CHEMNITZ TECH\u2002[DE]', 'FRAUNHOFER-GESELLSCHAFT ZUR FOERDERUNG DER ANGEWANDTEN FORSCHUNG E.V,', 'TECHNISCHE UNIVERSITAET CHEMNITZ']","['KURTH STEFFEN DR-ING\u2002[DE]', 'KAUFMANN CHRISTIAN DR-ING\u2002[DE]', 'HAHN RAMON DIPL-ING\u2002[DE]', 'GESSNER THOMAS PROF DR-ING HAB\u2002[DE]', 'HILLER KARLA DR-ING HABIL\u2002[DE]', 'KURTH, STEFFEN, DR.-ING,', 'KAUFMANN, CHRISTIAN, DR.-ING,', 'HAHN, RAMON, DIPL.-ING,', 'GESSNER, THOMAS, PROF.DR.-ING.HABIL,', 'HILLER, KARLA, DR.-ING.HABIL']",[],"['B81B3/00AI', 'G02B26/08AI']"
EP08716573A,3/17/08,Refused / Withdrawn,Other,AIRSHIP,"['UNIV CHEMNITZ TECH\u2002[DE]', 'TECHNISCHE UNIVERSITAET CHEMNITZ']","['KRAUSE THOMAS\u2002[DE]', 'KRAUSE, THOMAS']",[],"['B64B1/32AI', 'B64B1/02AI']"
EP08855886A,12/4/08,Refused / Withdrawn,Other,SUBSTRATE HAVING A COATING COMPRISING COPPER AND METHOD FOR THE PRODUCTION THEREOF BY MEANS OF ATOMIC LAYER DEPOSITION,"['FRAUNHOFER GES FORSCHUNG\u2002[DE]', 'UNIV CHEMNITZ TECH\u2002[DE]', 'FRAUNHOFER-GESELLSCHAFT ZUR FOERDERUNG DER ANGEWANDTEN FORSCHUNG E.V,', 'TECHNISCHE UNIVERSITAET CHEMNITZ']","['WAECHTLER THOMAS\u2002[DE]', 'GESSNER THOMAS\u2002[DE]', 'SCHULZ STEFAN\u2002[DE]', 'LANG HEINRICH\u2002[DE]', 'JAKOB ALEXANDER\u2002[DE]', 'WAECHTLER, THOMAS,', 'GESSNER, THOMAS,', 'SCHULZ, STEFAN,', 'LANG, HEINRICH,', 'JAKOB, ALEXANDER']",[],"['C23C16/18AI', 'C23C16/40AI', 'C23C16/455AI', 'H01L21/768AI']"
EP10708091A,1/26/10,Refused / Withdrawn,Other,"MICROSTRUCTURE, METHOD FOR PRODUCING THE SAME, DEVICE FOR BONDING A MICROSTRUCTURE AND MICROSYSTEM","['FRAUNHOFER GES FORSCHUNG\u2002[DE]', 'UNIV CHEMNITZ TECH\u2002[DE]', 'FRAUNHOFER-GESELLSCHAFT ZUR FOERDERUNG DER ANGEWANDTEN FORSCHUNG E.V,', 'TECHNISCHE UNIVERSITAET CHEMNITZ']","['BRAEUER JOERG\u2002[DE]', 'GESSNER THOMAS\u2002[DE]', 'HOFMANN LUTZ\u2002[DE]', 'FROEMEL JOERG\u2002[DE]', 'WIEMER MAIK\u2002[DE]', 'LETSCH HOLGER\u2002[DE]', 'BAUM MARIO\u2002[DE]', 'BRAEUER, JOERG,', 'GESSNER, THOMAS,', 'HOFMANN, LUTZ,', 'FROEMEL, JOERG,', 'WIEMER, MAIK,', 'LETSCH, HOLGER,', 'BAUM, MARIO']",[],[]
EP10401151A,8/26/10,EP granted,Other,Micromechanical sensor with bandpass characteristics,"['UNIV CHEMNITZ TECH\u2002[DE]', 'TECHNISCHE UNIVERSITAET CHEMNITZ']","['DIENEL MARCO\u2002[DE]', 'SORGER ALEXANDER\u2002[DE]', 'MEHNER JAN\u2002[DE]', 'DIENEL, MARCO,', 'SORGER, ALEXANDER,', 'MEHNER, JAN']",[],[]
