applicant,type
BAM BUNDESANSTALT FUER MATERIALFORSCHUNG UND -PRUEFUNG,Industry/Other
BUNDESDRUCKEREI GMBH,Industry/Other
CHARITE - UNIVERSITAETSMEDIZIN BERLIN,University
CYANO BIOTECH GMBH,Industry/Other
FORSCHUNGSVERBUND BERLIN E.V,University
FRAUNHOFER-GESELLSCHAFT ZUR FÖRDERUNG DER ANGEWANDTEN FORSCHUNG E.V,Industry/Other
FREIE UNIVERSITÄT BERLIN,University
"HAMELMANN, ECKARD",Industry/Other
"HARTMANN, SUSANNE",Industry/Other
HUMBOLDT UNI BERLIN,University
HUMBOLDT UNIV ZU BERLIN,University
HUMBOLDT UNIVERSITAET BERLIN,University
HUMBOLDT UNIVERSITAET ZU BERLIN,University
HUMBOLDT UNIVERSITY BERLIN,University
HUMBOLDT UNIVERSITÄT ZU BERLIN,University
HUMBOLDT-UNIVERSITAET ZU BERLIN,University
ISIS INNOVATION,Industry/Other
ISIS INNOVATION LIMITED,Industry/Other
"KALACHEV, ALEXEY",Industry/Other
KONRAD ZUSE ZENTRUM FUER INFOR,Industry/Other
KONRAD-ZUSE-ZENTRUM FUER INFORMATIONSTECHNIK BERLIN,University
KONRAD-ZUSE-ZENTRUM FÜR INFORMATIONSTECHNIK BERLIN,University
LEIBNIZ INST FUER AGRARTECHNIK,Industry/Other
LEIBNIZ-INSTITUT FUER AGRARTECHNIK POTSDAM-BORNIME.V. (ATB),Industry/Other
LEIBNIZ-INSTITUT FÜR AGRARTECHNIK UND BIOÖKONOMIE E.V. (ATB),Industry/Other
"LUCIUS, RICHARD",Industry/Other
"MORITZ, WERNER",Industry/Other
NANOFLUOR GMBH,Industry/Other
OXFORD UNIVERSITY INNOVATION LIMITED,University
PROTEOME FACTORY AG,Industry/Other
"SCHNOELLER, CORINNA",Industry/Other
STRATO AG,Industry/Other
TECHNISCHE UNIVERSITÄT WIEN,University
THE BOARD OF TRUSTEES OF THE LELAND STANFORD JUNIOR UNIVERSITY,University
THE BOARD OF TRUSTEES OF THE UNIVERSITY OF THE LELAND STANFORD JUNIOR UNIVERSITY,University
UNIV BERLIN FREIE,University
UNIV BERLIN HUMBOLDT,University
UNIV LELAND STANFORD JUNIOR,Industry/Other
UNIV WIEN TECH,Industry/Other
UNIVERSITEIT UTRECHT HOLDING B.V,Industry/Other
UNIVERSITY OF COPENHAGEN,University
VITA ZAHNFABRIK H. RAUTER GMBH & CO. KG,Industry/Other
