ep_patent,filing_year,technical_field,title,normalized_applicants,normalized_inventors,priority_claims,german_priorities,ipc_classes,cpc_classes,application_number,filing_date
EP02748595A,2002,Other,TEMPORARY ADHESIVE FOR METAL - METAL AND METAL-CERAMIC BONDS,"['HUMBOLDT UNI BERLIN', 'HUMBOLDT UNIVERSITAET BERLIN', 'BAM BUNDESANSTALT FUER MATERIALFORSCHUNG UND -PRUEFUNG', 'VITA ZAHNFABRIK H. RAUTER GMBH & CO. KG']","['Mueller, Wolf-Dieter', 'Berger, Georg', 'Nagel, Emil', 'Lange, Klaus-Peter']","['10129845·2001-06-15', 'DE2002002227·2002-06-14']",['DE2002002227·2002-06-14'],"['A61K6/', 'A61K6/', 'A61K6/', 'A61L24/', 'A61L24/', 'A61L24/', 'A61L27/', 'A61L27/']","['A61K6/30', 'A61K6/30', 'A61K6/833', 'A61K6/833', 'A61K6/838', 'A61K6/838', 'A61L24/0084', 'A61L24/0084', 'A61L24/0089', 'A61L24/0089', 'A61L24/06', 'A61L24/06', 'A61L27/446', 'A61L27/446', 'A61L27/46', 'A61L27/46']",EP20020748595,20020614
EP02020812A,2002,Other,Method for arranging a polymer molecule,"['UNIV BERLIN HUMBOLDT', 'KALACHEV, ALEXEY']","['Rabe, Prof. Dr. Juergen', 'Severin, Dr. Nikolai', 'Kalachev, Dr. Alexey']",[],[],"['C12Q1/', 'C40B40/', 'C40B40/', 'C40B60/']","['B82Y5/00', 'B82Y5/00', 'B82Y30/00', 'B82Y30/00', 'C12Q1/6834', 'C12Q1/6834', 'B01J2219/00351', 'B01J2219/00351', 'B01J2219/00608', 'B01J2219/00608', 'B01J2219/00612', 'B01J2219/00612', 'B01J2219/00626', 'B01J2219/00626', 'B01J2219/00635', 'B01J2219/00635', 'B01J2219/00637', 'B01J2219/00637', 'B01J2219/00659', 'B01J2219/00659', 'B01J2219/00677', 'B01J2219/00677', 'B01J2219/00722', 'B01J2219/00722', 'B01J2219/00731', 'B01J2219/00731', 'C40B40/06', 'C40B40/06', 'C40B40/12', 'C40B40/12', 'C40B60/14', 'C40B60/14', 'Y10T436/25', 'Y10T436/25']",EP20020020812,20020917
EP03760636A,2003,Other,METHOD AND REAGENT FOR SPECIFICALLY IDENTIFYING AND QUANTIFYING ONE OR MORE PROTEINS IN A SAMPLE,"['PROTEOME FACTORY AG', 'PROTEOME FACTORY AG', 'HUMBOLDT UNIVERSITAET ZU BERLIN', 'HUMBOLDT UNIVERSITÄT ZU BERLIN']","['Krause, Martin, Dr', 'Scheler, Christian', 'Boettger, Ulrike', 'Weisshoff, Hardy', 'Linscheid, Michael', 'Böttger, Ulrike']","['10227599·2002-06-20', 'EP2003006391W·2003-06-17']",[],"['G01N27/', 'C12Q1/', 'G01N30/', 'G01N30/', 'G01N30/', 'G01N33/', 'G01N33/']","['G01N33/6848', 'G01N33/6848']",EP20030760636,20030617
EP03767421A,2003,Smart industry - enabling: User interface,METHOD FOR DETERMINING ACOUSTIC FEATURES OF ACOUSTIC SIGNALS FOR THE ANALYSIS OF UNKNOWN ACOUSTIC SIGNALS AND FOR MODIFYING SOUND GENERATION,"['UNIV BERLIN HUMBOLDT', 'HUMBOLDT-UNIVERSITAET ZU BERLIN']","['Langner, Joerg', 'Auhagen, Wolfgang']","['10254612·2002-11-22', 'DE2003003738·2003-11-12']",['DE2003003738·2003-11-12'],"['G10L15/', 'G10L17/', 'G10L25/']","['G10L15/02', 'G10L15/02', 'G10L17/02', 'G10L17/02', 'G10L25/48', 'G10L25/48']",EP20030767421,20031112
EP04700458A,2004,Other,METHOD FOR THE PREPARATION OF HIGH SURFACE AREA METAL FLUORIDES,"['UNIV BERLIN HUMBOLDT', 'HUMBOLDT-UNIVERSITAET ZU BERLIN', 'NANOFLUOR GMBH']","['Kemnitz, Erhard', 'Gross, Udo', 'Ruediger, Stephan']","['438308 P·2003-01-07', '03000221·2003-01-07', '03006656·2003-03-25', 'EP2004000049W·2004-01-07']",[],"['B01J27/', 'B01J27/', 'B01J27/', 'B01J27/', 'B01J35/', 'B01J37/', 'C01B9/', 'C01F5/', 'C01F7/', 'C07C17/', 'C07C17/', 'C07C17/', 'C07C45/', 'B01J35/']","['B01J27/12', 'B01J27/12', 'B01J27/125', 'B01J27/125', 'B01J27/128', 'B01J27/128', 'B01J27/138', 'B01J27/138', 'B01J35/33', 'B01J35/33', 'B01J35/80', 'B01J37/26', 'B01J37/26', 'C01B9/08', 'C01B9/08', 'C01F5/28', 'C01F5/28', 'C01F7/50', 'C01F7/50', 'C07C2/68', 'C07C2/68', 'C07C17/087', 'C07C17/087', 'C07C17/21', 'C07C17/21', 'C07C17/358', 'C07C17/358', 'C07C17/37', 'C07C17/37', 'C07C45/46', 'C07C45/46', 'B01J35/30', 'B01J35/615', 'B01J35/615', 'B01J35/66', 'B01J35/66', 'B01J2235/00', 'B01J2235/05', 'B01J2235/10', 'B01J2235/15', 'B01J2235/30', 'C01P2002/02', 'C01P2002/02', 'C01P2002/54', 'C01P2002/54', 'C01P2002/82', 'C01P2002/82', 'C01P2002/86', 'C01P2002/86', 'C01P2004/52', 'C01P2004/52', 'C01P2004/54', 'C01P2004/54', 'C01P2006/12', 'C01P2006/12', 'C01P2006/14', 'C01P2006/14', 'C01P2006/16', 'C01P2006/16', 'C07C2527/125', 'C07C2527/125']",EP20040700458,20040107
EP05090208A,2005,Other,Hydrogen sensor and use thereof,"['UNIV BERLIN HUMBOLDT', 'HUMBOLDT-UNIVERSITAET ZU BERLIN', 'MORITZ, WERNER']","['Moritz, Werner, Dr. Sc. Nat', 'Szeponik, Jan, Dr']","['DE102004033597A·2004-07-07', '651466 P·2004-08-26']",['DE102004033597A·2004-07-07'],"['G01N27/', 'G01N27/', 'G08B17/']",['G08B17/117'],EP20050090208,20050707
EP04739806A,2004,Other,QUANTUM WELL STRUCTURE,"['UNIV BERLIN HUMBOLDT', 'HUMBOLDT-UNIVERSITAET ZU BERLIN']","['Masselink, William, Ted', 'Semtsiv, Mykhaylo, Petrovych']","['10335443·2003-07-31', 'EP2004006314W·2004-06-11']",[],"['H01L29/', 'H01L29/', 'H01L31/']","['B82Y10/00', 'B82Y10/00', 'B82Y20/00', 'B82Y20/00', 'H10D62/813', 'H10D62/813', 'H10D62/824', 'H10D62/824', 'H10F77/14', 'H10F77/14', 'H10F77/146', 'H10F77/146']",EP20040739806,20040611
EP05735075A,2005,Other,METHOD FOR THE PREPARATION OF FLUORIDE GLASS GEL AND USE THEREOF,"['UNIV BERLIN HUMBOLDT', 'HUMBOLDT-UNIVERSITAET ZU BERLIN', 'NANOFLUOR GMBH']","['Kemnitz, Erhard', 'Gross, Udo', 'Ruediger, Stephan']","['EP2005003524W·2005-04-04', '04008229·2004-04-05']",[],"['C03C1/', 'C01B9/', 'C03C3/', 'C03C13/', 'C03C17/', 'C03C17/', 'C03C25/', 'C03C25/', 'C04B35/', 'C04B35/']","['C01B9/08', 'C03C1/006', 'C03C1/008', 'C03C3/325', 'C03C17/02', 'C03C17/22', 'C03C25/1061', 'C04B35/553', 'C04B35/624', 'C04B35/6264', 'C03C2217/285', 'C03C2218/113', 'C04B2235/3201', 'C04B2235/3208', 'C04B2235/3217', 'C04B2235/3244', 'C04B2235/3409', 'C04B2235/401', 'C04B2235/441']",EP20050735075,20050404
EP05015324A,2005,"Smart industry - core: IT Software,Smart industry - core: Connectivity",Apparatus and method for access/storage of electronic data in a system with several data processing entities,"['KONRAD ZUSE ZENTRUM FUER INFOR', 'KONRAD-ZUSE-ZENTRUM FUER INFORMATIONSTECHNIK BERLIN', 'HUMBOLDT-UNIVERSITAET ZU BERLIN']","['Reinefeld, Alexander, Prof. Dr', 'Schintke, Florian', 'Schuett, Thorsten']",[],[],"['G06F17/', 'H04L69/']","['H04L61/00', 'H04L61/00', 'H04L67/104', 'H04L67/104', 'H04L67/1065', 'H04L67/1065', 'H04L69/329', 'H04L69/329', 'H04L69/40', 'H04L69/40']",EP20050015324,20050714
EP05782835A,2005,Other,BIOCHEMICAL FUEL CELL,"['ISIS INNOVATION', 'ISIS INNOVATION LIMITED', 'HUMBOLDT-UNIVERSITAET ZU BERLIN']","['Armstrong, Fraser, Andrew', 'Vincent, Kylie, Alison', 'Friedrich, Baerbel', 'Lenz, Oliver']","['0420341·2004-09-13', 'GB2005003526·2005-09-13']",[],"['H01M4/', 'H01M8/']","['H01M4/90', 'H01M4/90', 'H01M8/16', 'H01M8/16', 'Y02E60/50', 'Y02E60/50']",EP20050782835,20050913
