ep_patent,german_priority,applicants
EP02748595A,DE2002002227·2002-06-14,"['HUMBOLDT UNI BERLIN', 'HUMBOLDT UNIVERSITAET BERLIN', 'BAM BUNDESANSTALT FUER MATERIALFORSCHUNG UND -PRUEFUNG', 'VITA ZAHNFABRIK H. RAUTER GMBH & CO. KG']"
EP03767421A,DE2003003738·2003-11-12,"['UNIV BERLIN HUMBOLDT', 'HUMBOLDT-UNIVERSITAET ZU BERLIN']"
EP05090208A,DE102004033597A·2004-07-07,"['UNIV BERLIN HUMBOLDT', 'HUMBOLDT-UNIVERSITAET ZU BERLIN', 'MORITZ, WERNER']"
EP07090048A,DE102006013442A·2006-03-17,"['UNIV BERLIN HUMBOLDT', 'HUMBOLDT-UNIVERSITAET ZU BERLIN']"
EP06805488A,DE2006001891·2006-10-23,"['LEIBNIZ INST FUER AGRARTECHNIK', 'LEIBNIZ-INSTITUT FUER AGRARTECHNIK POTSDAM-BORNIME.V. (ATB)', 'HUMBOLDT-UNIVERSITAET ZU BERLIN', 'LEIBNIZ-INSTITUT FÜR AGRARTECHNIK UND BIOÖKONOMIE E.V. (ATB)']"
EP06805488A,DE102006008026A·2006-02-16,"['LEIBNIZ INST FUER AGRARTECHNIK', 'LEIBNIZ-INSTITUT FUER AGRARTECHNIK POTSDAM-BORNIME.V. (ATB)', 'HUMBOLDT-UNIVERSITAET ZU BERLIN', 'LEIBNIZ-INSTITUT FÜR AGRARTECHNIK UND BIOÖKONOMIE E.V. (ATB)']"
EP10803439A,DE102009056052A·2009-11-26,"['UNIV BERLIN HUMBOLDT', 'HUMBOLDT UNIVERSITAET ZU BERLIN', 'HUMBOLDT UNIVERSITÄT ZU BERLIN']"
EP10803439A,DE2010050084·2010-11-22,"['UNIV BERLIN HUMBOLDT', 'HUMBOLDT UNIVERSITAET ZU BERLIN', 'HUMBOLDT UNIVERSITÄT ZU BERLIN']"
EP11738947A,DE102010019660A·2010-04-30,"['UNIV BERLIN HUMBOLDT', 'HUMBOLDT UNIVERSITAET ZU BERLIN', 'FORSCHUNGSVERBUND BERLIN E.V', 'HUMBOLDT UNIVERSITÄT ZU BERLIN', 'FORSCHUNGSVERBUND BERLIN E.V']"
EP11738947A,DE2011050011·2011-04-20,"['UNIV BERLIN HUMBOLDT', 'HUMBOLDT UNIVERSITAET ZU BERLIN', 'FORSCHUNGSVERBUND BERLIN E.V', 'HUMBOLDT UNIVERSITÄT ZU BERLIN', 'FORSCHUNGSVERBUND BERLIN E.V']"
EP12777891A,DE102011085538A·2011-11-01,"['BUNDESDRUCKEREI GMBH', 'BUNDESDRUCKEREI GMBH', 'HUMBOLDT UNIVERSITY BERLIN']"
EP13826720A,DE102012222898A·2012-12-12,"['HUMBOLDT UNIVERSITÄT ZU BERLIN', 'HUMBOLDT UNIVERSITY BERLIN', 'FORSCHUNGSVERBUND BERLIN E.V', 'HUMBOLDT UNIVERSITY BERLIN', 'FORSCHUNGSVERBUND BERLIN E.V']"
EP18796612A,DE102017219338A·2017-10-27,"['HUMBOLDT UNIV ZU BERLIN', 'HUMBOLDT UNIVERSITY BERLIN']"
