inventor
"Armstrong, Fraser, Andrew"
"Arroyo-Olarte, Ruben"
"Auhagen, Wolfgang"
"Bastian, Paul"
"Benson, Oliver"
"Berger, Georg"
"Bethge, Lucas"
"Bhatia, Sumati"
"Bickel, Steffen"
"Bickel, Steffen Dipl.-Wirtschaftsinform"
"Boettger, Ulrike"
"Bopp, Julian"
"Brouwers, Jos"
"Böttger, Ulrike"
"Conradi, Hauke"
"Deisseroth, Karl, A"
"Dietrich, Frank"
"Dorn, Martin"
"Dresler, Sebastian"
"Dunay, Ildiko"
"Ferenczi, Emily, Anne"
"Friedrich, Baerbel"
"Gross, Udo"
"Gupta, Nishith"
"Haag, Rainer"
"Haider, Peter"
"Haider, Peter Dipl.-Inform"
"Hainke, Sven"
"Halle, Ingrid, Dr"
"Hamelmann, Eckard"
"Hartmann, Susanne"
"Hegemann, Peter"
"Helms, J. Bernd"
"Henneberger, Fritz"
"Henze, Rico"
"Herrmann, Andreas"
"Jansen, Arne"
"Kalachev, Alexey"
"Kalachev, Dr. Alexey"
"Kemnitz, Erhard"
"Kischkat, Jan"
"Kischkat, Jan-Ferenc"
"Kleinert, Moritz"
"Koch, Norbert"
"Kramer, Dan"
"Krause, Martin, Dr"
"Lange, Klaus-Peter"
"Langner, Joerg"
"Lauster, Daniel"
"Lauterbach, Lars"
"Lenz, Oliver"
"Linke, Bernd"
"Linscheid, Michael"
"Lucius, Richard"
"Mahmoodian, Sahand"
"Masselink, William Ted"
"Masselink, William, Ted"
"Moritz, Werner, Dr. Sc. Nat"
"Mueller, Wolf-Dieter"
"Mumme, Jan"
"Müller, Wolf"
"Nagel, Emil"
"Paeschke, Manfred"
"Perona Martinez, Felipe"
"Rabe, Juergen"
"Rabe, Jürgen"
"Rabe, Prof. Dr. Juergen"
"Rauschenbeutel, Arno"
"Reinefeld, Alexander Prof. Dr"
"Reinefeld, Alexander, Prof. Dr"
"Riechert, Henning"
"Ruediger, Stephan"
"SCHNEEWEIß, Philipp"
"Sayrin, Clément"
"Scheffer, Tobias"
"Scheffer, Tobias Prof. Dr"
"Scheler, Christian"
"Schintke, Florian"
"Schlesinger, Raphael"
"Schneeweiss, Philipp"
"Schnoeller, Corinna"
"Schröder, Tim"
"Schuett, Thorsten"
"Schütt, Thorsten"
"Seitz, Oliver"
"Semtsiv, Mykhaylo"
"Semtsiv, Mykhaylo Petrovych"
"Semtsiv, Mykhaylo, Petrovych"
"Severin, Dr. Nikolai"
"Severin, Nikolai"
"Supplie, Oliver"
"Szeponik, Jan, Dr"
"Sørensen, Anders Søndberg"
"Thies, Andreas"
"Tzschentke, Barbara, Dr"
"Tölle, Rainer"
"Vincent, Kylie"
"Vincent, Kylie, Alison"
"Volz, Jürgen"
"Von Lilienfeld-Toal, Hermann"
"Weisshoff, Hardy"
"Wienholtz, Rene"
"von Lilienfeld-Toal, Hermann"
