EP_Patent_Number,University,Technical_field,Filing_Year,Patent_status,Connected_Spinout,EP_App_ID_for_PATSTAT
EP80100298A,Karlsruhe Institute of Technology,Other,1980,EP granted,Robodev GmbH,80100298
EP80100797A,Karlsruhe Institute of Technology,Other,1980,EP granted,Robodev GmbH,80100797
EP80102603A,Karlsruhe Institute of Technology,Other,1980,EP granted,Robodev GmbH,80102603
EP80102962A,Karlsruhe Institute of Technology,Other,1980,EP granted,Robodev GmbH,80102962
EP80103623A,Karlsruhe Institute of Technology,Other,1980,Refused / Withdrawn,Robodev GmbH,80103623
EP80103921A,Karlsruhe Institute of Technology,Other,1980,EP granted,Robodev GmbH,80103921
EP80105360A,Karlsruhe Institute of Technology,Other,1980,EP granted,Robodev GmbH,80105360
EP80102963A,Karlsruhe Institute of Technology,Other,1980,EP granted,Robodev GmbH,80102963
EP80106159A,Karlsruhe Institute of Technology,Other,1980,EP granted,Robodev GmbH,80106159
EP80103117A,Karlsruhe Institute of Technology,Other,1980,EP granted,Robodev GmbH,80103117
EP80106369A,Karlsruhe Institute of Technology,Other,1980,EP granted,Robodev GmbH,80106369
EP80106603A,Karlsruhe Institute of Technology,Other,1980,EP granted,Robodev GmbH,80106603
EP80107849A,Karlsruhe Institute of Technology,Other,1980,EP granted,Robodev GmbH,80107849
EP80107475A,Karlsruhe Institute of Technology,Other,1980,EP granted,Robodev GmbH,80107475
EP80101648A,Karlsruhe Institute of Technology,Other,1980,EP granted,Robodev GmbH,80101648
EP80107735A,Karlsruhe Institute of Technology,Other,1980,EP granted,Robodev GmbH,80107735
EP81103077A,Karlsruhe Institute of Technology,Other,1981,Refused / Withdrawn,Robodev GmbH,81103077
EP80104274A,Karlsruhe Institute of Technology,Other,1980,EP granted,Robodev GmbH,80104274
EP81102355A,Karlsruhe Institute of Technology,Other,1981,EP granted,Robodev GmbH,81102355
EP81100596A,Karlsruhe Institute of Technology,Other,1981,EP granted,Robodev GmbH,81100596
EP81100979A,Karlsruhe Institute of Technology,Other,1981,EP granted,Robodev GmbH,81100979
EP81104149A,Karlsruhe Institute of Technology,Other,1981,EP granted,Robodev GmbH,81104149
EP81104150A,Karlsruhe Institute of Technology,Other,1981,EP granted,Robodev GmbH,81104150
EP81109498A,Karlsruhe Institute of Technology,Other,1981,EP granted,Robodev GmbH,81109498
EP81101676A,Karlsruhe Institute of Technology,Other,1981,EP granted,Robodev GmbH,81101676
EP81102136A,Karlsruhe Institute of Technology,Other,1981,EP granted,Robodev GmbH,81102136
EP81103119A,Karlsruhe Institute of Technology,Other,1981,EP granted,Robodev GmbH,81103119
EP82101123A,Karlsruhe Institute of Technology,Other,1982,EP granted,Robodev GmbH,82101123
EP81106782A,Karlsruhe Institute of Technology,Other,1981,EP granted,Robodev GmbH,81106782
EP81106783A,Karlsruhe Institute of Technology,Other,1981,EP granted,Robodev GmbH,81106783
EP81106784A,Karlsruhe Institute of Technology,Other,1981,EP granted,Robodev GmbH,81106784
EP82104945A,Karlsruhe Institute of Technology,Other,1982,EP granted,Robodev GmbH,82104945
EP82104946A,Karlsruhe Institute of Technology,Other,1982,EP granted,Robodev GmbH,82104946
EP82110144A,Karlsruhe Institute of Technology,Other,1982,Refused / Withdrawn,Robodev GmbH,82110144
EP83101171A,Karlsruhe Institute of Technology,Other,1983,Refused / Withdrawn,Robodev GmbH,83101171
EP83101172A,Karlsruhe Institute of Technology,Other,1983,EP granted,Robodev GmbH,83101172
EP83102626A,Karlsruhe Institute of Technology,Other,1983,EP granted,Robodev GmbH,83102626
EP83106885A,Karlsruhe Institute of Technology,Other,1983,EP granted,Robodev GmbH,83106885
EP83106945A,Karlsruhe Institute of Technology,Other,1983,EP granted,Robodev GmbH,83106945
EP83108924A,Karlsruhe Institute of Technology,Other,1983,EP granted,Robodev GmbH,83108924
EP83109172A,Karlsruhe Institute of Technology,Other,1983,EP granted,Robodev GmbH,83109172
EP84101900A,Karlsruhe Institute of Technology,Other,1984,EP granted,Robodev GmbH,84101900
EP84101842A,Karlsruhe Institute of Technology,Other,1984,Refused / Withdrawn,Robodev GmbH,84101842
EP84101841A,Karlsruhe Institute of Technology,Other,1984,Refused / Withdrawn,Robodev GmbH,84101841
EP84105356A,Karlsruhe Institute of Technology,Other,1984,EP granted,Robodev GmbH,84105356
EP84105863A,Karlsruhe Institute of Technology,Other,1984,EP granted,Robodev GmbH,84105863
EP83109027A,Karlsruhe Institute of Technology,Other,1983,EP granted,Robodev GmbH,83109027
EP84109730A,Karlsruhe Institute of Technology,Other,1984,EP granted,Robodev GmbH,84109730
EP83112508A,Karlsruhe Institute of Technology,Other,1983,EP granted,Robodev GmbH,83112508
EP84114950A,Karlsruhe Institute of Technology,Other,1984,Refused / Withdrawn,Robodev GmbH,84114950
EP85100651A,Karlsruhe Institute of Technology,Other,1985,EP granted,Robodev GmbH,85100651
EP85101037A,Karlsruhe Institute of Technology,Other,1985,EP granted,Robodev GmbH,85101037
EP85101038A,Karlsruhe Institute of Technology,Other,1985,EP granted,Robodev GmbH,85101038
EP85105863A,Karlsruhe Institute of Technology,Other,1985,EP granted,Robodev GmbH,85105863
EP85104079A,Karlsruhe Institute of Technology,Other,1985,Refused / Withdrawn,Robodev GmbH,85104079
EP85105558A,Karlsruhe Institute of Technology,Other,1985,Refused / Withdrawn,Robodev GmbH,85105558
EP85106479A,Karlsruhe Institute of Technology,Other,1985,EP granted,Robodev GmbH,85106479
EP85105862A,Karlsruhe Institute of Technology,Other,1985,EP granted,Robodev GmbH,85105862
EP85105864A,Karlsruhe Institute of Technology,Other,1985,EP granted,Robodev GmbH,85105864
EP85109108A,Karlsruhe Institute of Technology,Other,1985,Refused / Withdrawn,Robodev GmbH,85109108
EP85109107A,Karlsruhe Institute of Technology,Other,1985,EP granted,Robodev GmbH,85109107
EP85110951A,Karlsruhe Institute of Technology,Other,1985,EP granted,Robodev GmbH,85110951
EP86100612A,Karlsruhe Institute of Technology,Other,1986,EP granted,Robodev GmbH,86100612
EP86100272A,Karlsruhe Institute of Technology,Other,1986,EP granted,Robodev GmbH,86100272
EP86102069A,Karlsruhe Institute of Technology,Other,1986,EP granted,Robodev GmbH,86102069
EP85109800A,Karlsruhe Institute of Technology,Other,1985,EP granted,Robodev GmbH,85109800
EP86102698A,Karlsruhe Institute of Technology,Other,1986,EP granted,Robodev GmbH,86102698
EP86103637A,Karlsruhe Institute of Technology,Other,1986,EP granted,Robodev GmbH,86103637
EP86103640A,Karlsruhe Institute of Technology,Other,1986,EP granted,Robodev GmbH,86103640
EP86104368A,Karlsruhe Institute of Technology,Other,1986,Refused / Withdrawn,Robodev GmbH,86104368
EP86102025A,Karlsruhe Institute of Technology,Other,1986,Refused / Withdrawn,Robodev GmbH,86102025
EP86105056A,Karlsruhe Institute of Technology,Other,1986,EP granted,Robodev GmbH,86105056
EP86107558A,Karlsruhe Institute of Technology,Other,1986,Refused / Withdrawn,Robodev GmbH,86107558
EP86104962A,Karlsruhe Institute of Technology,Other,1986,Refused / Withdrawn,Robodev GmbH,86104962
EP86105055A,Karlsruhe Institute of Technology,Other,1986,EP granted,Robodev GmbH,86105055
EP86105992A,Karlsruhe Institute of Technology,Other,1986,EP granted,Robodev GmbH,86105992
EP86108322A,Karlsruhe Institute of Technology,Clean energy - grid: Physical Grid,1986,EP granted,Robodev GmbH,86108322
EP86104299A,Karlsruhe Institute of Technology,Other,1986,EP granted,Robodev GmbH,86104299
EP86107337A,Karlsruhe Institute of Technology,Other,1986,EP granted,Robodev GmbH,86107337
EP86105220A,Karlsruhe Institute of Technology,Other,1986,Refused / Withdrawn,Robodev GmbH,86105220
EP86107338A,Karlsruhe Institute of Technology,Other,1986,EP granted,Robodev GmbH,86107338
EP86108321A,Karlsruhe Institute of Technology,Other,1986,EP granted,Robodev GmbH,86108321
EP86107336A,Karlsruhe Institute of Technology,Other,1986,Refused / Withdrawn,Robodev GmbH,86107336
EP86117772A,Karlsruhe Institute of Technology,Other,1983,EP granted,Robodev GmbH,86117772
EP86103636A,Karlsruhe Institute of Technology,Other,1986,EP granted,Robodev GmbH,86103636
EP86117770A,Karlsruhe Institute of Technology,Other,1983,EP granted,Robodev GmbH,86117770
EP86113531A,Karlsruhe Institute of Technology,Other,1986,EP granted,Robodev GmbH,86113531
EP86117771A,Karlsruhe Institute of Technology,Other,1983,EP granted,Robodev GmbH,86117771
EP86113485A,Karlsruhe Institute of Technology,Other,1986,EP granted,Robodev GmbH,86113485
EP86112536A,Karlsruhe Institute of Technology,Other,1986,EP granted,Robodev GmbH,86112536
EP87100571A,Karlsruhe Institute of Technology,Other,1987,EP granted,Robodev GmbH,87100571
EP87104458A,Karlsruhe Institute of Technology,Other,1987,EP granted,Robodev GmbH,87104458
EP87103994A,Karlsruhe Institute of Technology,Other,1987,EP granted,Robodev GmbH,87103994
EP87104069A,Karlsruhe Institute of Technology,Other,1987,EP granted,Robodev GmbH,87104069
EP87103592A,Karlsruhe Institute of Technology,Other,1987,EP granted,Robodev GmbH,87103592
EP87104164A,Karlsruhe Institute of Technology,Other,1987,EP granted,Robodev GmbH,87104164
EP87103768A,Karlsruhe Institute of Technology,Other,1987,EP granted,Robodev GmbH,87103768
EP87102017A,Karlsruhe Institute of Technology,Other,1987,EP granted,Robodev GmbH,87102017
EP86109194A,Karlsruhe Institute of Technology,Other,1986,EP granted,Robodev GmbH,86109194
EP87105378A,Karlsruhe Institute of Technology,Other,1987,EP granted,Robodev GmbH,87105378
EP87106363A,Karlsruhe Institute of Technology,Other,1987,EP granted,Robodev GmbH,87106363
EP87105022A,Karlsruhe Institute of Technology,Other,1987,Refused / Withdrawn,Robodev GmbH,87105022
EP87105867A,Karlsruhe Institute of Technology,Other,1987,EP granted,Robodev GmbH,87105867
EP87109218A,Karlsruhe Institute of Technology,Other,1987,EP granted,Robodev GmbH,87109218
EP87109907A,Karlsruhe Institute of Technology,Other,1987,EP granted,Robodev GmbH,87109907
EP86111813A,Karlsruhe Institute of Technology,Other,1986,Refused / Withdrawn,Robodev GmbH,86111813
EP86112040A,Karlsruhe Institute of Technology,Other,1986,EP granted,Robodev GmbH,86112040
EP87111097A,Karlsruhe Institute of Technology,Other,1987,EP granted,Robodev GmbH,87111097
EP87113885A,Karlsruhe Institute of Technology,Other,1987,EP granted,Robodev GmbH,87113885
EP87115493A,Karlsruhe Institute of Technology,Other,1987,EP granted,Robodev GmbH,87115493
EP87115733A,Karlsruhe Institute of Technology,Other,1987,EP granted,Robodev GmbH,87115733
EP87118733A,Karlsruhe Institute of Technology,Other,1987,Refused / Withdrawn,Robodev GmbH,87118733
EP88103115A,Karlsruhe Institute of Technology,Other,1988,Refused / Withdrawn,Robodev GmbH,88103115
EP88103116A,Karlsruhe Institute of Technology,Other,1988,EP granted,Robodev GmbH,88103116
EP88104920A,Karlsruhe Institute of Technology,Other,1988,EP granted,Robodev GmbH,88104920
EP87105409A,Karlsruhe Institute of Technology,Other,1987,EP granted,Robodev GmbH,87105409
EP87105410A,Karlsruhe Institute of Technology,Other,1987,EP granted,Robodev GmbH,87105410
EP88105700A,Karlsruhe Institute of Technology,Other,1988,Refused / Withdrawn,Robodev GmbH,88105700
EP88105701A,Karlsruhe Institute of Technology,Other,1988,EP granted,Robodev GmbH,88105701
EP87107455A,Karlsruhe Institute of Technology,Other,1987,Refused / Withdrawn,Robodev GmbH,87107455
EP88105614A,Karlsruhe Institute of Technology,Other,1988,Refused / Withdrawn,Robodev GmbH,88105614
EP88106298A,Karlsruhe Institute of Technology,Other,1988,Refused / Withdrawn,Robodev GmbH,88106298
EP88107571A,Karlsruhe Institute of Technology,Other,1988,EP granted,Robodev GmbH,88107571
EP88112075A,Karlsruhe Institute of Technology,Other,1988,Refused / Withdrawn,Robodev GmbH,88112075
EP88106438A,Karlsruhe Institute of Technology,Other,1988,EP granted,Robodev GmbH,88106438
EP87113736A,Karlsruhe Institute of Technology,Other,1987,EP granted,Robodev GmbH,87113736
EP88114874A,Karlsruhe Institute of Technology,Other,1988,Refused / Withdrawn,Robodev GmbH,88114874
EP88120700A,Karlsruhe Institute of Technology,Other,1988,EP granted,Robodev GmbH,88120700
EP89105375A,Karlsruhe Institute of Technology,Other,1986,EP granted,Robodev GmbH,89105375
EP88118388A,Karlsruhe Institute of Technology,Other,1988,EP granted,Robodev GmbH,88118388
EP89102657A,Karlsruhe Institute of Technology,Other,1989,EP granted,Robodev GmbH,89102657
EP89105374A,Karlsruhe Institute of Technology,Other,1986,EP granted,Robodev GmbH,89105374
EP89103865A,Karlsruhe Institute of Technology,Other,1989,EP granted,Robodev GmbH,89103865
EP88114819A,Karlsruhe Institute of Technology,Other,1988,EP granted,Robodev GmbH,88114819
EP89109570A,Karlsruhe Institute of Technology,Clean energy - storage: Battery recycling,1989,EP granted,Robodev GmbH,89109570
EP89109897A,Karlsruhe Institute of Technology,Other,1989,EP granted,Robodev GmbH,89109897
EP88901560A,Karlsruhe Institute of Technology,Other,1988,EP granted,Robodev GmbH,88901560
EP88902803A,Karlsruhe Institute of Technology,Other,1988,Refused / Withdrawn,Robodev GmbH,88902803
EP89112460A,Karlsruhe Institute of Technology,Other,1989,EP granted,Robodev GmbH,89112460
EP89104563A,Karlsruhe Institute of Technology,Other,1989,EP granted,Robodev GmbH,89104563
EP88905686A,Karlsruhe Institute of Technology,Other,1988,EP granted,Robodev GmbH,88905686
EP88905687A,Karlsruhe Institute of Technology,Other,1988,EP granted,Robodev GmbH,88905687
EP88905685A,Karlsruhe Institute of Technology,Other,1988,EP granted,Robodev GmbH,88905685
EP88905696A,Karlsruhe Institute of Technology,Other,1988,EP granted,Robodev GmbH,88905696
EP88905699A,Karlsruhe Institute of Technology,Other,1988,EP granted,Robodev GmbH,88905699
EP88907108A,Karlsruhe Institute of Technology,Other,1988,EP granted,Robodev GmbH,88907108
EP89116261A,Karlsruhe Institute of Technology,Other,1989,EP granted,Robodev GmbH,89116261
EP89118568A,Karlsruhe Institute of Technology,Other,1989,EP granted,Robodev GmbH,89118568
EP89119818A,Karlsruhe Institute of Technology,Other,1989,EP granted,Robodev GmbH,89119818
EP89119817A,Karlsruhe Institute of Technology,Other,1989,EP granted,Robodev GmbH,89119817
EP89120246A,Karlsruhe Institute of Technology,Other,1989,EP granted,Robodev GmbH,89120246
EP89121283A,Karlsruhe Institute of Technology,Other,1989,EP granted,Robodev GmbH,89121283
EP90100506A,Karlsruhe Institute of Technology,Other,1990,EP granted,Robodev GmbH,90100506
EP89112520A,Karlsruhe Institute of Technology,Other,1989,EP granted,Robodev GmbH,89112520
