applicant,type
CETEX INST FÜR TEXTIL- UND VERARBEITUNGSMASCHINEN GEMEINNÜTZIGE GMBH,Industry/Other
CETEX INSTITUT FÜR TEXTIL- UND VERARBEITUNGSMASCHINEN GEMEINNÜTZIGE GMBH,Industry/Other
CETEX INSTITUT GGMBH,Industry/Other
EINS ENERGIE IN SACHSEN GMBH & CO. KG,Industry/Other
FRAUNHOFER GES FORSCHUNG,Industry/Other
FRAUNHOFER GESELLSCHAFT ZUR FOERDERUNG DER ANGEWANDTEN WISSENSCHAFT E.V,Industry/Other
FRAUNHOFER GESELLSCHAFT ZUR FÖRDERUNG DER ANGEWANDTEN FORSCHUNG E.V,Industry/Other
FRAUNHOFER-GESELLSCHAFT ZUR FOERDERUNG DER ANGEWANDTEN FORSCHUNG E.V,Industry/Other
FRAUNHOFER-GESELLSCHAFT ZUR FÖRDERUNG DER ANGEWANDTEN FORSCHUNG E.V,Industry/Other
IBIDI GMBH,Industry/Other
LIGENIUM GMBH,Industry/Other
PAPIER IN FORM UND FARBE GMBH,Industry/Other
STADTWERKE CHEMNITZ AG,University
TECH UNIVERSITÄT CHEMNITZ,University
TU CHEMNITZ,University
UNIV CHEMNITZ TECH,University
VOLKSWAGEN AKTIENGESELLSCHAFT,Industry/Other
ZYLUM BETEILIGUNGSGESELLSCHAFT MBH & CO. PATENTE II KG,Industry/Other
