ep_patent,filing_year,technical_field,title,normalized_applicants,normalized_inventors,priority_claims,german_priorities,ipc_classes,cpc_classes,application_number,filing_date
EP05804010A,2005,Other,METHOD FOR THE PRODUCTION OF SUBSTITUTED PHOSPHANES,"['UNIV CHEMNITZ TECH', 'TU CHEMNITZ', 'ZYLUM BETEILIGUNGSGESELLSCHAFT MBH & CO. PATENTE II KG']","['Thiel, Werner', 'Sun, Yu', 'Hienzsch, Antje']","['DE102004052725A·2004-10-27', 'DE2005001856·2005-10-17']","['DE102004052725A·2004-10-27', 'DE2005001856·2005-10-17']","['C07F9/', 'C07F9/']","['C07F9/65031', 'C07F9/65031', 'C07F9/6512', 'C07F9/6512']",EP20050804010,20051017
EP07007535A,2007,Other,"Microactor, method for displacing a fluid and method for manufacturing a microactor","['UNIV CHEMNITZ TECH', 'TU CHEMNITZ']","['Nestler, Joerg', 'Hiller, Karla', 'Otto, Thomas', 'Gessner, Thomas']",['DE102006017482A·2006-04-13'],['DE102006017482A·2006-04-13'],['B41J2/'],"['B41J2/14064', 'B41J2/14064', 'F04B43/043', 'F04B43/043', 'F16K99/0001', 'F16K99/0007', 'F16K99/0015', 'F16K99/0044', 'F16K99/0057', 'F16K99/0061', 'B01L3/50273', 'B01L3/502738', 'B41J2002/14193', 'F16K99/0034', 'F16K2099/0084', 'F16K2099/0094']",EP20070007535,20070412
EP08400030A,2008,Other,Charging and/or discharging system and method for charging and/or discharging a thermal energy storage with an insert provided between the diffuser plates,"['STADTWERKE CHEMNITZ AG', 'STADTWERKE CHEMNITZ AG', 'TU CHEMNITZ', 'EINS ENERGIE IN SACHSEN GMBH & CO. KG', 'EINS ENERGIE IN SACHSEN GMBH & CO. KG', 'TU CHEMNITZ']","['Urbaneck, Thorsten', 'Uhlig, Ulf', 'Barthel, Uwe', 'Urbaneck Dr.-Ing, Thorsten']",['DE102007027570A·2007-06-12'],['DE102007027570A·2007-06-12'],['F28D20/'],"['F24H9/133', 'F28D20/0039', 'F28D2020/0069', 'F28D2020/0073', 'Y02E60/14']",EP20080400030,20080523
EP08400031A,2008,Other,Charging and/or discharging system and method for charging and/or discharging a thermal energy storage with an insert provided inside a diffuser,"['STADTWERKE CHEMNITZ AG', 'STADTWERKE CHEMNITZ AG', 'TU CHEMNITZ', 'EINS ENERGIE IN SACHSEN GMBH & CO. KG', 'EINS ENERGIE IN SACHSEN GMBH & CO. KG', 'TU CHEMNITZ']","['Urbaneck, Thorsten', 'Uhlig, Ulf', 'Barthel, Uwe', 'Urbaneck, Dr.-Ing., Thorsten']",['DE102007027571A·2007-06-12'],['DE102007027571A·2007-06-12'],['F28D20/'],"['F24H9/133', 'F28D20/0039', 'F28D2020/0069', 'F28D2020/0073', 'Y02E60/14']",EP20080400031,20080523
EP10401151A,2010,Other,Micromechanical sensor with bandpass characteristics,"['UNIV CHEMNITZ TECH', 'TU CHEMNITZ']","['Dienel, Marco', 'Sorger, Alexander', 'Mehner, Jan']",[],[],['G01H13/'],"['G01H13/00', 'G01H13/00']",EP20100401151,20100826
EP10779251A,2010,Other,CONVEYING UNIT,"['UNIV CHEMNITZ TECH', 'TU CHEMNITZ']","['Nendel, Klaus', 'Subbert, Sindy', 'Meynerts, Peter']","['DE102009052985A·2009-11-12', 'EP2010006827W·2010-11-09']",['DE102009052985A·2009-11-12'],['B65G23/'],['B65G23/14'],EP20100779251,20101109
EP12179918A,2011,Other,Micro-fluid device and method for manufacturing the same,"['FRAUNHOFER GES FORSCHUNG', 'FRAUNHOFER-GESELLSCHAFT ZUR FOERDERUNG DER ANGEWANDTEN FORSCHUNG E.V', 'TU CHEMNITZ', 'FRAUNHOFER-GESELLSCHAFT ZUR FÖRDERUNG DER ANGEWANDTEN FORSCHUNG E.V', 'TU CHEMNITZ']","['Nestler, Joerg', 'Otto, Thomas', 'Gesner, Thomas', 'Nestler, Jörg', 'Geßner, Thomas']","['11787682·2011-11-23', 'DE102010061910A·2010-11-24']",['DE102010061910A·2010-11-24'],"['B01L3/', 'B29C65/', 'B29C65/']","['B01L3/502707', 'B01L3/502715', 'B01L3/502723', 'B01L3/50273', 'B01L3/502738', 'B01L2200/025', 'B01L2200/028', 'B01L2200/0684', 'B01L2200/0689', 'B01L2300/0816', 'B01L2300/0861', 'B01L2300/0874', 'B01L2300/0887', 'B01L2400/0481', 'B01L2400/0655']",EP20120179918,20111123
EP12401009A,2012,Water Tech: Water treatment,ABSORPTION MATERIAL THAT INDICATES THE SATURATION LEVEL,"['PAPIER IN FORM UND FARBE GMBH', 'PAPIER IN FORM UND FARBE GMBH', 'TU CHEMNITZ', 'PAPIER IN FORM UND FARBE GMBH', 'TU CHEMNITZ']","['Nehrkorn, Arnd', 'Brand, Joachim', 'Goedel, Werner']",['DE102011000349A·2011-01-27'],['DE102011000349A·2011-01-27'],"['B01J20/', 'B01J20/', 'B01J20/', 'C02F1/', 'C09K3/', 'E02B15/', 'C02F1/', 'C02F101/', 'C02F103/']","['B01J20/24', 'B01J20/28011', 'B01J20/28014', 'B01J20/28054', 'C02F1/28', 'C09K3/32', 'E02B15/101', 'C02F1/286', 'C02F1/40', 'C02F2101/32', 'C02F2103/007']",EP20120401009,20120126
EP11827768A,2011,Other,METHOD AND DEVICE FOR THERMAL SPRAYING,"['UNIV CHEMNITZ TECH', 'TU CHEMNITZ', 'TU CHEMNITZ']","['Paczkowski, Gerd', 'Rupprecht, Christian', 'Wielage, Bernhard']","['202010008661 U·2010-09-29', '2011075229·2011-09-22']",[],"['B05B7/', 'B05B15/', 'C23C4/']","['B05B7/203', 'B05B7/224', 'B05B15/50', 'C23C4/131']",EP20110827768,20110922
EP11819075A,2011,Other,SWITCHABLE COUPLING,"['UNIV CHEMNITZ TECH', 'TU CHEMNITZ', 'VOLKSWAGEN AKTIENGESELLSCHAFT']","['Van Der Seylberg, Frank', 'Tenberge, Peter', 'Baumgart, Rico']","['202010012903 U·2010-11-16', '2011075273·2011-11-15']",[],['F16D27/'],"['F16D11/14', 'F16D27/112', 'F16D27/118', 'F16D27/118', 'F16D23/02']",EP20110819075,20111115
