inventor
"Alt, Christoph"
"Aurich, Joerg"
"Aurich, Jörg"
"Barthel, Uwe"
"Baumgart, Rico"
"Bertz, Andreas"
"Brand, Joachim"
"Danzer, Christoph"
"Dienel, Marco"
"Eckardt, Ronny"
"Eichhorn, Sven"
"Enderlein, Tom"
"Gerstenberger, Colin"
"Gesner, Thomas"
"Gessner, Thomas"
"Geßner, Thomas"
"Goedel, Werner"
"Heinrich, Hans-Jürgen"
"Hermann, Sascha"
"Hienzsch, Antje"
"Hiller, Karla"
"Kroll, Lothar"
"Mehner, Jan"
"Meynerts, Peter"
"Morschhauser, Andreas"
"Nehrkorn, Arnd"
"Nendel, Klaus"
"Nendel, Sebastian"
"Nendel, Wolfgang"
"Nestler, Joerg"
"Nestler, Joerg, Dr"
"Nestler, Jörg"
"Nestler, Jörg, Dr"
"Otto, Thomas"
"Paczkowski, Gerd"
"Penno, Eric"
"Pham, Trung"
"Platzer, Bernd"
"Rupprecht, Christian"
"Sander, Karin"
"Schulz, Stefan E"
"Schulz, Stefan, E"
"Sorger, Alexander"
"Stiehl, Cornelia"
"Subbert, Sindy"
"Sun, Yu"
"Tenberge, Peter"
"Thiel, Werner"
"Uhlig, Ulf"
"Urbaneck Dr.-Ing, Thorsten"
"Urbaneck, Dr.-Ing., Thorsten"
"Urbaneck, Thorsten"
"Van Der Seylberg, Frank"
"Von Unwerth, Thomas"
"Wielage, Bernhard"
