ep_patent,german_priority,applicants
EP93918880A,DE9300689·1993-08-05,"['UNIV DRESDEN TECH', 'TU DRESDEN']"
EP94912434A,DE9400310·1994-03-18,"['UNIV DRESDEN TECH', 'TU DRESDEN']"
EP94912436A,DE9400342·1994-03-25,"['UNIV DRESDEN TECH', 'TU DRESDEN']"
EP95903230A,DE9401445·1994-12-06,"['UNIV DRESDEN TECH', 'TU DRESDEN']"
EP96901711A,DE9600197·1996-02-06,"['UNIV DRESDEN TECH', 'BIOMET MERCK GMBH']"
EP95940166A,DE9501774·1995-12-12,"['UNIV DRESDEN TECH', 'TU DRESDEN']"
EP97930317A,DE9701206·1997-06-13,"['UNIV DRESDEN TECH', 'TU DRESDEN', 'KNUERR-MECHANIK FUER DIE ELEKTRONIK AG']"
EP97928109A,DE9701081·1997-05-30,"['UNIV DRESDEN TECH', 'TU DRESDEN', 'FRAUNHOFER-GESELLSCHAFT ZUR FOERDERUNG DER ANGEWANDTEN FORSCHUNG E.V', 'FRAUNHOFER-GESELLSCHAFT ZUR FOERDERUNG DER']"
EP97941858A,DE9701901·1997-08-29,"['UNIV DRESDEN TECH', 'TU DRESDEN']"
EP97952739A,DE9702966·1997-12-19,"['UNIV DRESDEN TECH', 'TU DRESDEN', 'FORSTLICHE VERSUCHS- UND FORSCHUNGSANSTALT BADEN-WUERTTEMBERG']"
EP97952725A,DE9702910·1997-12-15,"['UNIV DRESDEN TECH', 'TU DRESDEN', 'DRESDEN 3D GMBH']"
EP98964360A,DE9803393·1998-11-17,"['UNIV DRESDEN TECH', 'TU DRESDEN', 'KERB-KONUS-VERTRIEBS-GMBH', 'ABB DAIMLER-BENZ TRANSPORTATION (TECHNOLOGY) GMBH']"
EP99955786A,DE9903064·1999-09-24,"['UNIV DRESDEN TECH', 'TU DRESDEN']"
EP99959212A,DE9903302·1999-10-14,"['EIBES KERB KONUS GMBH', 'KERB-KONUS-VERTRIEBS-GMBH', 'WAGGONFABRIK TALBOT GMBH & CO.KG', 'TU DRESDEN', 'TALBOT GMBH & CO. KG']"
EP99968302A,DE9904029·1999-12-17,"['UNIV DRESDEN TECH', 'TU DRESDEN', 'NOVIHUM GMBH']"
EP00954283A,DE0002010·2000-06-14,"['UNIV DRESDEN TECH', 'TU DRESDEN']"
EP00982966A,DE0003525·2000-10-06,"['UNIV DRESDEN TECH', 'TU DRESDEN']"
EP01996894A,DE0104422·2001-11-20,"['UNIV DRESDEN TECH', 'TU DRESDEN', 'NOVALED AG']"
EP02745122A,DE2002002030·2002-05-30,"['UNIV DRESDEN TECH', 'TU DRESDEN']"
EP03732220A,DE2003001440·2003-04-30,"['UNIV DRESDEN TECH', 'TU DRESDEN']"
EP03759870A,DE2003002056·2003-06-13,"['UNIV DRESDEN TECH', 'TU DRESDEN', 'MANAGEMENT ASSOCIATES GBR']"
EP03762464A,DE2003002305·2003-07-04,"['UNIV DRESDEN TECH', 'TU DRESDEN']"
EP04721821A,DE2004000574·2004-03-19,"['UNIV DRESDEN TECH', 'TU DRESDEN', 'HELIATEK GMBH']"
EP04762394A,DE2004001539·2004-07-08,"['UNIV DRESDEN TECH', 'TU DRESDEN', 'TU DRESDEN']"
EP03818073A,DE2003002720·2003-08-13,"['UNIV DRESDEN TECH', 'TU DRESDEN', 'TU DRESDEN']"
EP06090055A,DE102005017676A·2005-04-11,"['BERLINER ELEKTRONENSPEICHER', 'BERLINER ELEKTRONENSPEICHERRING-GESELLSCHAFT FUERSYNCHROTRONSTRAHLUNG MBH', 'TU DRESDEN']"
EP05737888A,DE102004023824A·2004-05-13,"['FRAUNHOFER GES FORSCHUNG', 'FRAUNHOFER-GESELLSCHAFT ZUR FOERDERUNG DER ANGEWANDTEN FORSCHUNG E.V']"
EP05776652A,DE102004042285A·2004-08-27,"['UNIV DRESDEN TECH', 'TU DRESDEN']"
EP06024303A,DE102005056828A·2005-11-23,"['UNIV DRESDEN TECH', 'HOMAG HOLZBEARBEITUNGSSYSTEME AG']"
EP05815530A,DE102004056298A·2004-11-18,"['UNIV DRESDEN TECH', 'TU DRESDEN']"
EP05815530A,DE2005001981·2005-10-29,"['UNIV DRESDEN TECH', 'TU DRESDEN']"
EP05769676A,DE102004037184A·2004-07-30,"['UNIV DRESDEN TECH', 'TU DRESDEN', 'UROTISS GMBH']"
EP05769676A,DE2005001266·2005-07-18,"['UNIV DRESDEN TECH', 'TU DRESDEN', 'UROTISS GMBH']"
EP06791948A,DE102005056564A·2005-11-25,"['GEESTHACHT GKSS FORSCHUNG', 'GKSS-FORSCHUNGSZENTRUM GEESTHACHT GMBH', 'TU DRESDEN']"
EP07721969A,DE102006009539A·2006-02-28,"['UNIV DRESDEN TECH', 'TU DRESDEN', 'UROTEC GMBH']"
EP07721969A,DE2007000368·2007-02-28,"['UNIV DRESDEN TECH', 'TU DRESDEN', 'UROTEC GMBH']"
EP07722392A,DE102006021726A·2006-05-03,"['UNIV DRESDEN TECH', 'TU DRESDEN']"
EP07722392A,DE2007000840·2007-05-03,"['UNIV DRESDEN TECH', 'TU DRESDEN']"
EP07729175A,DE102006025098A·2006-05-19,"['FRAUNHOFER GES FORSCHUNG', 'FRAUNHOFER-GESELLSCHAFT ZUR FOERDERUNG DER ANGEWANDTEN FORSCHUNG E.V', 'TU DRESDEN']"
EP07802769A,DE102006040917A·2006-08-22,"['UNIV DRESDEN TECH', 'TU DRESDEN', 'TU DRESDEN']"
EP09155974A,DE102005036085A·2005-07-25,"['UNIV DRESDEN TECH', 'RIBOXX GMBH', 'TU DRESDEN']"
EP09155974A,DE102006008219A·2006-02-13,"['UNIV DRESDEN TECH', 'RIBOXX GMBH', 'TU DRESDEN']"
EP07785710A,DE102006043389A·2006-09-06,"['UNIV DRESDEN TECH', 'TU DRESDEN']"
EP07785710A,DE2007001483·2007-08-15,"['UNIV DRESDEN TECH', 'TU DRESDEN']"
