inventor
"Abetz, Volker"
"Barte, Hans-Juerg"
"Berger, Guenter"
"Bersch, Henrike"
"Berschev, Evgueni"
"Beutner, Rene"
"Bley, Thomas, Prof. Dr"
"Blochwitz-Niemoth, Jan"
"Boehmer, Peter"
"Boernick, Hilmar, Dr"
"Bornitz, Matthias"
"Braxmeier, Tobias"
"Bretschneider, Rainer"
"Brummack, Joachim"
"Carstensen, Hartmut"
"Dirk Nicolaus, Dipl. Ing"
"Donhauser, Georg"
"Drechsel, Jens"
"Effenberg, Gerald"
"Ehrlich, Hermann"
"Eichner, Matthias"
"Engelmann, Uwe"
"Exner, Horst"
"Ficker, Thomas"
"Fischer, Klaus"
"Freudenberg, Christiane"
"Friedrichson, Tim"
"Froehner, Wolfgang"
"Gehlhaar, Robert"
"Gelinsky, Michael, Dr"
"Gomes, Dominique De Figueiredo"
"Gross, Martin"
"Grossmann, Frank"
"Gruber, Manfred, Prof. Dr.-Ing. Habil"
"Hakenberg, Oliver"
"Haller, Peer"
"Hanke, Thomas"
"Hardtmann, Andre"
"Hardtmann, André"
"Heidrich, Holger"
"Heinemann, Sascha"
"Hentschel, Dieter"
"Herrmann, Heido"
"Hoenisch, Herbert"
"Hoffmann, Gerald"
"Hoffmann, Gerald, Dr"
"Hoffmann, Ruediger"
"Hofinger, Juergen"
"Hofmann, Gert"
"Holldack, Karsten"
"Houska, Mario"
"Huettenbrink, Karl-Bernd"
"Hüttenbrink, Karl-Bernd"
"Ischiersch, Ronald, Dipl.-Ing"
"Jacobs, Enno"
"Jaeger, Katrin"
"Jennings, Gary"
"Johne, Steffen"
"Kaskel, Stefan"
"Katzur, Joachim"
"Kerns, Gerhard, Dr"
"Klempin, Rainer, Dr.Ing"
"Klimes, Wolfgang"
"Knoelker, Hans-Joachim"
"Knorr, Juergen"
"Koeckritz, Uwe"
"Koenig, Juergen"
"Koenig, Swetlana Dr"
"Koulthachev, Oleg, Konstantinovich"
"Kranz, Curt"
"Kuehne, Gerhard, Prof. Dr"
"Kurzchalia, Teymuras"
"Leo, Karl"
"Leo, Karl, Prof. Dr"
"Leske, Joachim"
"Levin, Alexandr"
"Liebrecht, Fritz"
"Lippmann, Wolfgang"
"Lobova, Ludmila"
"Losert, Ewald"
"Lyssenko, Vadim, Prof. Dr"
"Maennig, Bert"
"Mahler, Gerold"
"Maier, Thomas"
"Mauermann, Reinhard"
"Meyer, Andreas, Dr"
"Meyer, Dirk"
"Meyer, Heinrich"
"Michael, Jan"
"Mildner, Lars"
"Munick, Michael"
"Männig, Bert"
"Nagel, Thomas"
"Neubert, Holger"
"Nickl, Joerg"
"Nunes, Suzana"
"Offermann, Peter"
"Offermann, Peter, Prof. Dr"
"Ovsyannikov, Vladimir, Petrovich"
"Partsch, Uwe"
"Paufler, Peter"
"Peinemann, Klaus-Viktor"
"Pfeiffer, Martin"
"Polster, Andreas"
"Pompe, Wolfgang"
"Pompe, Wolfgang, Prof. Dr"
"Quaisser, Gunter"
"Ram-Liebig, Gouya"
"Reinecke, Anne-Maria"
"Richard, Ulf"
"Richter, Christoph"
"Richter, Karola"
"Roedel, Hartmut"
"Roehrs, Guenter"
"Roessler, Sophie"
"Rohayem, Jacques"
"Rudolf, Frank"
"Rudolph, Ivo"
"Rudolph, Wolfram"
"Schade, Ulrich"
"Schaefer, Wolfgang, Dr.-Ing"
"Scharnweber, Dieter"
"Scheel, Wolfgang"
"Schenk, Andrea"
"Schiene, Rainer"
"Schlechtingen, Georg"
"Schmack, Gerhilt, Dr"
"Schmidt, Walter"
"Schondelmaier, Daniel"
"Schramm, Andreas, Dipl.-Ing. Paed"
"Schroeder, Cornelia"
"Schuelke, Thomas"
"Schultrich, Bernd"
"Schwarz, Ulrich, Dr.-Ing"
"Schwenzer, Bernd"
"Schwerdtner, Armin"
"Seif, Manal"
"Siemroth, Peter"
"Simons, Kai"
"Staats, Gerald"
"Strassner, Thomas"
"Thoms, Volker"
"Traenkner, Thomas, Dipl.-Ing"
"Tschiersch, Ronald, Dipl.-Ing"
"Tschoepe, Constanze"
"Unbehaun, Holger, Dipl.-Ing"
"Unger, Yvonne"
"Urbansky, Norbert"
"Voelkner, Wolfgang"
"Wagenfuehr, Andre, Prof. Dr"
"Weber, Andreas"
"Wehsener, Joerg"
"Weidhase Frieder, Dr. Rer. Nat"
"Wenzel, Christian"
"Wirth, Manfred"
"Wolf, Regine"
"Wolff, Matthias"
"Worch, Hartmut"
"Worch, Hartmut, Prof. Dr"
"Wust, Hendrik, Dipl.-Ing"
"Zahnert, Thomas"
"Zeller, Alexander"
"Zerial, Marino"
"Zhou, Xiang Prof. Dr"
"Ziegler, Sonja"
"Zimmermann, Michael"
"Zschaetzsch, Gerd"
"Zschornack, Guenter"
"Zur Nieden, Theis"
