University,Total_Applications_DTF,Total_Students,Total_Spin_outs_DTF,Patents_in_Dataset,First_Filing_Year,Last_Filing_Year,Avg_Filing_Year,Granted_Patents,Unique_Tech_Fields,Patents_per_1000_Students,Grant_Rate,Patent_Span_Years
Karlsruhe Institute of Technology,1269,21848,6,1269,1980,2023,2005.3,811,72,58.08,63.9,43
Technical University of Munich,647,47047,21,647,1999,2023,2015.7,208,89,13.75,32.1,24
University of Erlangen-Nürnberg,553,37728,0,553,1997,2023,2014.6,210,69,14.66,38.0,26
University of Freiburg,537,23938,1,537,1999,2023,2012.7,241,73,22.43,44.9,24
Technische Universität Dresden,492,29286,1,492,1990,2023,2013.3,265,60,16.8,53.9,33
Heidelberg University,420,28448,2,420,1997,2022,2013.3,166,96,14.76,39.5,25
Technical University of Berlin,388,35149,19,388,2001,2023,2013.8,207,53,11.04,53.4,22
Aachen University,351,47521,11,351,2003,2023,2015.0,137,40,7.39,39.0,20
Johannes Gutenberg University Mainz,333,30461,0,333,2000,2023,2013.0,148,110,10.93,44.4,23
University of Stuttgart,307,22616,0,307,1994,2023,2013.2,132,34,13.57,43.0,29
Ludwig Maximilian University of Munich,307,51005,21,307,1999,2023,2012.3,105,41,6.02,34.2,24
Tübingen University,265,27770,0,265,1995,2023,2009.1,137,38,9.54,51.7,28
Hannover Medical School,235,3843,0,235,2001,2023,2014.5,95,40,61.15,40.4,22
University of Würzburg,227,27149,0,227,2002,2023,2014.4,74,52,8.36,32.6,21
Technical University of Darmstadt,201,24969,5,201,2003,2023,2015.0,99,30,8.05,49.3,20
University of Münster,201,43728,0,201,2002,2023,2013.5,56,31,4.6,27.9,21
University of Hamburg,200,43110,0,200,2002,2023,2014.1,50,32,4.64,25.0,21
Friedrich-Schiller-University of Jena,183,17345,3,183,1999,2023,2014.2,94,19,10.55,51.4,24
University of Bonn,172,36805,0,172,2002,2022,2012.7,58,36,4.67,33.7,20
Free University of Berlin,164,37608,16,164,1999,2022,2013.9,58,22,4.36,35.4,23
University of Kiel,148,27468,0,148,2003,2022,2015.3,67,19,5.39,45.3,19
Frankfurt University,140,43461,0,140,2003,2022,2014.7,37,22,3.22,26.4,19
Justus Liebig University Giessen,139,27184,0,139,1999,2023,2014.3,47,20,5.11,33.8,24
Philipps University of Marburg,129,21723,1,129,2003,2023,2012.0,48,18,5.94,37.2,20
Saarland University,126,16240,0,126,2002,2022,2013.8,38,23,7.76,30.2,20
University of Cologne,122,52204,0,122,1994,2022,2013.3,43,25,2.34,35.2,28
University of Hannover,119,28817,1,119,1998,2023,2012.5,49,10,4.13,41.2,25
Brunswick University of Technology,118,17794,0,118,2002,2023,2011.3,57,12,6.63,48.3,21
University of Duisburg-Essen,116,41322,0,116,2002,2023,2011.3,51,23,2.81,44.0,21
University of Regensburg,115,20702,0,115,2002,2022,2014.0,36,22,5.56,31.3,20
University of Kassel,110,23552,0,110,1999,2023,2013.3,66,7,4.67,60.0,24
Ilmenau University of Technology,104,4889,0,104,2002,2023,2013.0,59,10,21.27,56.7,21
Otto von Guericke University of Magdeburg,101,13143,3,101,2003,2023,2017.2,25,15,7.68,24.8,20
TU Dortmund University,95,32228,0,95,2004,2023,2014.2,41,13,2.95,43.2,19
Leipzig University,91,29927,0,91,2002,2022,2011.6,47,15,3.04,51.6,20
Ulm University,82,10164,1,82,1998,2022,2013.6,28,21,8.07,34.1,24
Hamburg University of Technology,79,7157,0,79,1999,2023,2011.8,38,5,11.04,48.1,24
University of Rostock,74,12664,1,74,2004,2023,2013.6,35,9,5.84,47.3,19
Humboldt University of Berlin,72,36378,7,72,2002,2022,2009.6,34,15,1.98,47.2,20
Ruhr-University Bochum,71,42088,0,71,1998,2024,2012.7,31,4,1.69,43.7,26
Heinrich Heine University Düsseldorf,70,33942,0,70,2003,2022,2012.3,27,13,2.06,38.6,19
