ep_patent,german_priority,applicants
EP05804010A,DE102004052725A·2004-10-27,"['UNIV CHEMNITZ TECH', 'TU CHEMNITZ', 'ZYLUM BETEILIGUNGSGESELLSCHAFT MBH & CO. PATENTE II KG']"
EP05804010A,DE2005001856·2005-10-17,"['UNIV CHEMNITZ TECH', 'TU CHEMNITZ', 'ZYLUM BETEILIGUNGSGESELLSCHAFT MBH & CO. PATENTE II KG']"
EP07007535A,DE102006017482A·2006-04-13,"['UNIV CHEMNITZ TECH', 'TU CHEMNITZ']"
EP08400030A,DE102007027570A·2007-06-12,"['STADTWERKE CHEMNITZ AG', 'STADTWERKE CHEMNITZ AG', 'TU CHEMNITZ', 'EINS ENERGIE IN SACHSEN GMBH & CO. KG', 'EINS ENERGIE IN SACHSEN GMBH & CO. KG', 'TU CHEMNITZ']"
EP08400031A,DE102007027571A·2007-06-12,"['STADTWERKE CHEMNITZ AG', 'STADTWERKE CHEMNITZ AG', 'TU CHEMNITZ', 'EINS ENERGIE IN SACHSEN GMBH & CO. KG', 'EINS ENERGIE IN SACHSEN GMBH & CO. KG', 'TU CHEMNITZ']"
EP10779251A,DE102009052985A·2009-11-12,"['UNIV CHEMNITZ TECH', 'TU CHEMNITZ']"
EP12179918A,DE102010061910A·2010-11-24,"['FRAUNHOFER GES FORSCHUNG', 'FRAUNHOFER-GESELLSCHAFT ZUR FOERDERUNG DER ANGEWANDTEN FORSCHUNG E.V', 'TU CHEMNITZ', 'FRAUNHOFER-GESELLSCHAFT ZUR FÖRDERUNG DER ANGEWANDTEN FORSCHUNG E.V', 'TU CHEMNITZ']"
EP12401009A,DE102011000349A·2011-01-27,"['PAPIER IN FORM UND FARBE GMBH', 'PAPIER IN FORM UND FARBE GMBH', 'TU CHEMNITZ', 'PAPIER IN FORM UND FARBE GMBH', 'TU CHEMNITZ']"
EP11782422A,DE102010061909A·2010-11-24,"['FRAUNHOFER GES FORSCHUNG', 'FRAUNHOFER GESELLSCHAFT ZUR FOERDERUNG DER ANGEWANDTEN WISSENSCHAFT E.V', 'TU CHEMNITZ', 'FRAUNHOFER-GESELLSCHAFT ZUR FÖRDERUNG DER ANGEWANDTEN FORSCHUNG E.V', 'TU CHEMNITZ']"
EP12721729A,DE102011001766A·2011-04-04,"['UNIV CHEMNITZ TECH', 'TU CHEMNITZ', 'TU CHEMNITZ']"
EP12738063A,DE102011051705A·2011-07-08,"['FRAUNHOFER GES FORSCHUNG', 'FRAUNHOFER GESELLSCHAFT ZUR FÖRDERUNG DER ANGEWANDTEN FORSCHUNG E.V', 'TU CHEMNITZ', 'FRAUNHOFER GESELLSCHAFT ZUR FÖRDERUNG DER ANGEWANDTEN FORSCHUNG E.V', 'TU CHEMNITZ']"
EP13726113A,DE102012010549A·2012-05-29,"['FRAUNHOFER GES FORSCHUNG', 'FRAUNHOFER-GESELLSCHAFT ZUR FÖRDERUNG DER ANGEWANDTEN FORSCHUNG E.V', 'TU CHEMNITZ']"
EP13741658A,DE102012010171A·2012-05-16,"['TECH UNIVERSITÄT CHEMNITZ', 'TU CHEMNITZ']"
EP17175903A,DE102016111080A·2016-06-17,"['CETEX INST FÜR TEXTIL- UND VERARBEITUNGSMASCHINEN GEMEINNÜTZIGE GMBH', 'CETEX INSTITUT FÜR TEXTIL- UND VERARBEITUNGSMASCHINEN GEMEINNÜTZIGE GMBH', 'TU CHEMNITZ', 'CETEX INSTITUT GGMBH']"
EP17190062A,DE102016217241A·2016-09-09,"['FRAUNHOFER GES FORSCHUNG', 'FRAUNHOFER-GESELLSCHAFT ZUR FÖRDERUNG DER ANGEWANDTEN FORSCHUNG E.V', 'TU CHEMNITZ']"
EP20761135A,DE2020100684·2020-07-31,"['UNIV CHEMNITZ TECH', 'TU CHEMNITZ', 'LIGENIUM GMBH']"
