ep_patent,filing_year,technical_field,title,normalized_applicants,normalized_inventors,priority_claims,german_priorities,ipc_classes,cpc_classes,application_number,filing_date
EP90120419A,1990,Other,Transmitter and receiver circuit for local computer networks with collision detection.,"['UNIV DRESDEN TECH', 'TU DRESDEN', 'WEIDHASE, FRIEDER, DR.RER.NAT', 'NICOLAUS, DIRK, DIPL.-ING']","['Traenkner, Thomas, Dipl.-Ing', 'Klempin, Rainer, Dr.Ing', 'Weidhase Frieder, Dr. Rer. Nat', 'Dirk Nicolaus, Dipl. Ing']",['334124·1989-11-02'],[],['H04L12/'],['H04L12/413'],EP19900120419,19901024
EP92120446A,1992,Other,Filter core for dewatering during the pressing of fresh concrete.,"['UNIV DRESDEN TECH', 'TU DRESDEN']","['Gruber, Manfred, Prof. Dr.-Ing. Habil', 'Ischiersch, Ronald, Dipl.-Ing', 'Schramm, Andreas, Dipl.-Ing. Paed', 'Tschiersch, Ronald, Dipl.-Ing']",['4139757·1991-12-03'],[],"['B28B7/', 'B28B7/']","['B28B7/28', 'B28B7/46']",EP19920120446,19921130
EP93918880A,1993,Other,HOLOGRAPHIC DISPLAY.,"['UNIV DRESDEN TECH', 'TU DRESDEN']","['Schwerdtner, Armin', 'Heidrich, Holger']","['DE9300689·1993-08-05', '4225589·1992-08-05']",['DE9300689·1993-08-05'],"['G02B5/', 'G02F1/', 'G03H1/', 'G03H1/', 'G09F19/']","['G02B5/32', 'G02F1/1335', 'G09F19/14', 'G02F1/133526']",EP19930918880,19930805
EP94912434A,1994,Other,ORGANIC FERTILIZER AND METHOD OF MANUFACTURING IT,"['UNIV DRESDEN TECH', 'TU DRESDEN']","['Fischer, Klaus', 'Katzur, Joachim', 'Schiene, Rainer']","['4308951·1993-03-19', 'DE9400310·1994-03-18']",['DE9400310·1994-03-18'],"['C05C11/', 'C05F7/', 'C05F11/']","['C05C11/00', 'C05C11/00', 'C05F11/02', 'C05F11/02']",EP19940912434,19940318
EP94912436A,1994,Other,OPTICAL SYSTEM FOR THE TWO AND THREE-DIMENSIONAL DISPLAY OF INFORMATION,"['UNIV DRESDEN TECH', 'TU DRESDEN']","['Schwerdtner, Armin', 'Heidrich, Holger']","['4309667·1993-03-26', 'DE9400342·1994-03-25']",['DE9400342·1994-03-25'],"['G02B30/', 'G03B35/', 'G03B35/', 'H04N13/', 'H04N13/']","['G02B30/27', 'G02B30/33', 'G02B30/33', 'G02B30/36', 'G02B30/36', 'G03B35/24', 'G03B35/24', 'H04N13/305', 'H04N13/305', 'H04N13/32', 'H04N13/32', 'H04N13/368', 'H04N13/368', 'H04N13/376', 'H04N13/376', 'H04N13/398', 'H04N13/398', 'H04N13/204', 'H04N13/204', 'H04N13/286', 'H04N13/286', 'H04N13/31', 'H04N13/31', 'H04N13/337', 'H04N13/337', 'H04N13/341', 'H04N13/341', 'H04N13/344', 'H04N13/344', 'H04N13/361', 'H04N13/361', 'H04N13/38', 'H04N13/38']",EP19940912436,19940325
EP95903230A,1994,Other,SYNCHRONOUS BELT DRIVE,"['UNIV DRESDEN TECH', 'TU DRESDEN']","['Nagel, Thomas', 'Richard, Ulf']","['4341572·1993-12-07', 'DE9401445·1994-12-06']",['DE9401445·1994-12-06'],"['F16H7/', 'F16H9/', 'F16H19/']","['F16H9/26', 'F16H9/26', 'F16H19/005', 'F16H19/005', 'F16H19/06', 'F16H19/06', 'F16H2019/0609', 'F16H2019/0609']",EP19950903230,19941206
EP96901711A,1996,Other,PROCESS FOR PRODUCING A GRADUATED COATING OF CALCIUM PHOSPHATE PHASES AND METALLIC OXIDE PHASES ON METAL IMPLANTS,"['UNIV DRESDEN TECH', 'BIOMET MERCK GMBH']","['Scharnweber, Dieter', 'Bersch, Henrike', 'Worch, Hartmut', 'Hofinger, Juergen', 'Kranz, Curt', 'Pompe, Wolfgang']","['19504386·1995-02-10', 'DE9600197·1996-02-06']",['DE9600197·1996-02-06'],"['A61F2/', 'A61L27/', 'A61L27/', 'C25D9/', 'A61F2/']","['A61L27/32', 'A61L27/32', 'A61L27/32', 'C25D9/04', 'C25D9/04', 'C25D9/04', 'A61F2310/00796', 'A61F2310/00796', 'A61F2310/00796', 'Y10S623/901', 'Y10S623/901']",EP19960901711,19960206
EP96919516A,1996,Other,CONNECTION SUBSTRATE,"['HEINZE DYCONEX PATENTE', 'DYCONEX PATENTE AG', 'ATOTECH DEUTSCHLAND GMBH', 'CIBA SPECIALTY CHEMICALS HOLDING INC', 'FRAUNHOFER-GESELLSCHAFT ZUR FOERDERUNG DER ANGEWANDTEN FORSCHUNG E.V', 'TU DRESDEN', 'VANTICO AG']","['Barte, Hans-Juerg', 'Losert, Ewald', 'Meyer, Heinrich', 'Roehrs, Guenter', 'Rudolf, Frank', 'Scheel, Wolfgang', 'Schmidt, Walter', 'Zur Nieden, Theis']","['CH9600218·1996-06-06', '1768/95·1995-06-15']",[],"['H01L23/', 'H01L23/', 'H01L25/', 'H01L25/', 'H05K1/', 'H05K3/', 'H05K3/', 'H05K7/', 'H05K1/', 'H05K3/']","['H01L23/50', 'H01L23/50', 'H01L23/5385', 'H01L23/5385', 'H01L25/065', 'H01L25/065', 'H01L25/162', 'H01L25/162', 'H05K1/00', 'H05K1/189', 'H05K1/189', 'H05K3/284', 'H05K3/284', 'H05K7/20', 'H01L2224/16225', 'H01L2224/16225', 'H05K1/0203', 'H05K1/0203', 'H05K3/0058', 'H05K3/0058', 'H05K2201/0209', 'H05K2201/0209', 'H05K2201/042', 'H05K2201/042', 'H05K2201/046', 'H05K2201/046', 'H05K2201/2009', 'H05K2201/2009', 'H05K2203/1316', 'H05K2203/1316', 'Y10S428/901', 'Y10S428/901', 'Y10T29/49128', 'Y10T29/49128', 'Y10T29/49155', 'Y10T29/49155']",EP19960919516,19960606
EP95940166A,1995,Other,MULTILAYER KNITTED STRUCTURE AND METHOD OF PRODUCING THE SAME,"['UNIV DRESDEN TECH', 'TU DRESDEN']","['Offermann, Peter', 'Hoffmann, Gerald', 'Engelmann, Uwe']",['DE9501774·1995-12-12'],['DE9501774·1995-12-12'],['D04B1/'],"['D04B1/123', 'D04B1/123', 'D04B7/14', 'D04B15/38', 'D04B15/56', 'D10B2403/021', 'D10B2403/021', 'D10B2403/02411', 'D10B2403/02412', 'D10B2403/02412', 'D10B2505/02']",EP19950940166,19951212
EP97930317A,1997,Other,CABINET FOR ELECTRIC AND ELECTRONIC SYSTEMS,"['UNIV DRESDEN TECH', 'TU DRESDEN', 'KNUERR-MECHANIK FUER DIE ELEKTRONIK AG']","['Boehmer, Peter', 'Bretschneider, Rainer', 'Hoenisch, Herbert']","['DE9701206·1997-06-13', '19623677·1996-06-14']",['DE9701206·1997-06-13'],"['H05K7/', 'H02B1/', 'H05K7/']","['H02B1/565', 'H05K7/12', 'H05K7/206']",EP19970930317,19970613
EP97928109A,1997,Other,PROCESS AND DEVICE FOR PRODUCTION OF METALLIC COATINGS ON SEMICONDUCTOR STRUCTURES,"['UNIV DRESDEN TECH', 'TU DRESDEN', 'FRAUNHOFER-GESELLSCHAFT ZUR FOERDERUNG DER ANGEWANDTEN FORSCHUNG E.V', 'FRAUNHOFER-GESELLSCHAFT ZUR FOERDERUNG DER']","['Klimes, Wolfgang', 'Wenzel, Christian', 'Urbansky, Norbert', 'Siemroth, Peter', 'Schuelke, Thomas', 'Schultrich, Bernd']","['19621855·1996-05-31', 'DE9701081·1997-05-30']",['DE9701081·1997-05-30'],"['C23C14/', 'C23C14/', 'H01L21/', 'H01L21/', 'H01L21/']","['C23C14/046', 'C23C14/046', 'C23C14/325', 'C23C14/325', 'H01L21/76843', 'H01L21/76843', 'H01L21/76877', 'H01L21/76877']",EP19970928109,19970530
