ipc_subclass,total_patents,granted_patents,unique_families,earliest_year,latest_year,avg_citations,ipc_section,ipc_section_name,grant_rate,time_span
A61K,16083074,7966039,1648466,1889,9999,26.67,A,Human Necessities,49.53,8110
G06F,10412010,5589802,3790886,1894,9999,23.49,G,Physics,53.69,8105
H01L,9471825,5556852,2268677,1900,9999,18.4,H,Electricity,58.67,8099
A61P,8247430,3821222,1065249,1926,9999,27.94,A,Human Necessities,46.33,8073
C07D,7405343,4238182,628830,1882,9999,27.62,C,Chemistry; Metallurgy,57.23,8117
H04N,6491533,3763108,1654933,1819,9999,31.7,H,Electricity,57.97,8180
G01N,5794385,3401386,2135604,1899,9999,16.59,G,Physics,58.7,8100
C07C,5468323,3458852,633304,1882,9999,16.33,C,Chemistry; Metallurgy,63.25,8117
H04L,4753867,2860973,1517151,1884,9999,28.24,H,Electricity,60.18,8115
H01M,4637919,2589996,908450,1884,9999,11.97,H,Electricity,55.84,8115
B01D,4478191,3071674,1720109,1866,9999,8.2,B,Performing Operations; Transporting,68.59,8133
A61B,4193367,2520166,1271861,1899,9999,52.89,A,Human Necessities,60.1,8100
H04W,4061415,2349272,807627,1907,9999,28.12,H,Electricity,57.84,8092
B29C,4035633,2620387,1166671,1877,9999,11.36,B,Performing Operations; Transporting,64.93,8122
B65D,4023279,2727268,1445035,1877,9999,8.29,B,Performing Operations; Transporting,67.79,8122
C12N,3589114,1762958,630644,1889,9999,34.95,C,Chemistry; Metallurgy,49.12,8110
C08L,3246214,1759658,772178,1856,9999,14.0,C,Chemistry; Metallurgy,54.21,8143
G06Q,3147276,1170566,1259855,1924,9999,22.47,G,Physics,37.19,8075
B32B,3064731,1933391,732393,1888,9999,9.73,B,Performing Operations; Transporting,63.09,8111
B01J,2871288,1777732,762116,1855,9999,14.72,B,Performing Operations; Transporting,61.91,8144
G02B,2752903,1572577,1028270,1844,9999,15.78,G,Physics,57.12,8155
G11B,2665365,1457587,723870,1819,9999,14.79,G,Physics,54.69,8180
B65G,2393580,1714104,1120887,1886,9999,4.64,B,Performing Operations; Transporting,71.61,8113
C08F,2367592,1482477,373703,1867,9999,22.06,C,Chemistry; Metallurgy,62.62,8132
H05K,2315137,1466969,1129085,1889,9999,9.26,H,Electricity,63.36,8110
C07K,2309789,1151196,311319,1897,9999,39.73,C,Chemistry; Metallurgy,49.84,8102
H01R,2287837,1637614,792312,1883,9999,8.26,H,Electricity,71.58,8116
C02F,2184105,1356039,931337,1866,9999,6.13,C,Chemistry; Metallurgy,62.09,8133
C08K,2169359,1057143,531193,1885,9999,10.22,C,Chemistry; Metallurgy,48.73,8114
H04B,2129321,1290205,768609,1896,9999,23.51,H,Electricity,60.59,8103
C08G,2121113,1258809,447596,1852,9999,16.07,C,Chemistry; Metallurgy,59.35,8147
F21V,2077722,1569789,817714,1849,9999,5.59,F,Mechanical Engineering; Lighting; Heating; Weapons; Blasting,75.55,8150
A23L,2020000,900525,656045,1861,9999,10.08,A,Human Necessities,44.58,8138
A61M,1981708,1284640,660559,1890,9999,34.19,A,Human Necessities,64.82,8109
B23K,1944740,1286139,767067,1875,9999,7.78,B,Performing Operations; Transporting,66.13,8124
C09D,1935126,977424,431528,1854,9999,12.03,C,Chemistry; Metallurgy,50.51,8145
A01N,1893851,989896,300558,1882,9999,18.18,A,Human Necessities,52.27,8117
G01R,1866553,1191126,911516,1880,9999,8.38,G,Physics,63.81,8119
A61F,1856610,1174477,556964,1858,9999,44.42,A,Human Necessities,63.26,8141
G06T,1825843,936089,765423,1920,9999,16.27,G,Physics,51.27,8079
H02K,1823338,1095766,676079,1877,9999,7.74,H,Electricity,60.1,8122
B65H,1785494,1214958,725490,1877,9999,5.91,B,Performing Operations; Transporting,68.05,8122
F24F,1764830,1137204,640657,1878,9999,4.48,F,Mechanical Engineering; Lighting; Heating; Weapons; Blasting,64.44,8121
C04B,1660579,933829,514092,1879,9999,10.2,C,Chemistry; Metallurgy,56.24,8120
H01H,1583608,1033682,638241,1884,9999,6.09,H,Electricity,65.27,8115
B24B,1564957,1153535,512820,1879,9999,3.85,B,Performing Operations; Transporting,73.71,8120
F16H,1542784,1007657,556116,1877,9999,8.97,F,Mechanical Engineering; Lighting; Heating; Weapons; Blasting,65.31,8122
B41J,1539139,864626,565629,1856,9999,15.26,B,Performing Operations; Transporting,56.18,8143
G06K,1536315,890623,820032,1885,9999,21.08,G,Physics,57.97,8114
F16K,1524058,1089618,613047,1877,9999,5.25,F,Mechanical Engineering; Lighting; Heating; Weapons; Blasting,71.49,8122
C23C,1482964,851504,450523,1879,9999,18.36,C,Chemistry; Metallurgy,57.42,8120
F16L,1478709,1033894,634348,1879,9999,7.54,F,Mechanical Engineering; Lighting; Heating; Weapons; Blasting,69.92,8120
B60R,1475056,894734,704336,1898,9999,12.19,B,Performing Operations; Transporting,60.66,8101
H04M,1473238,825335,595247,1894,9999,26.88,H,Electricity,56.02,8105
A61L,1449036,858365,443405,1878,9999,25.6,A,Human Necessities,59.24,8121
E21B,1444206,1010009,493271,1869,9999,15.22,E,Fixed Constructions,69.94,8130
G02F,1435768,824852,532957,1899,9999,16.78,G,Physics,57.45,8100
B08B,1423747,1067860,801392,1892,9999,2.95,B,Performing Operations; Transporting,75.0,8107
E04B,1374977,947623,696066,1879,9999,4.76,E,Fixed Constructions,68.92,8120
H02J,1366396,790242,705924,1890,9999,11.1,H,Electricity,57.83,8109
B01F,1355826,1052428,502188,1885,9999,5.06,B,Performing Operations; Transporting,77.62,8114
H05B,1330582,798413,580277,1877,9999,14.69,H,Electricity,60.0,8122
G03G,1311065,661664,508285,1910,9999,7.46,G,Physics,50.47,8089
C22C,1309090,739100,347582,1884,9999,9.21,C,Chemistry; Metallurgy,56.46,8115
B65B,1299404,920397,494508,1897,9999,6.94,B,Performing Operations; Transporting,70.83,8102
H01J,1281549,748673,404291,1819,9999,10.91,H,Electricity,58.42,8180
G01S,1272783,730725,419044,1887,9999,20.74,G,Physics,57.41,8112
B21D,1210189,886503,550476,1859,9999,4.08,B,Performing Operations; Transporting,73.25,8140
H01B,1202093,777559,445962,1879,9999,6.56,H,Electricity,64.68,8120
B62D,1174209,747546,543611,1882,9999,8.59,B,Performing Operations; Transporting,63.66,8117
G06N,1166048,474838,529267,1960,9999,9.21,G,Physics,40.72,8039
A01G,1150868,705728,681435,1877,9999,3.42,A,Human Necessities,61.32,8122
H01F,1142515,705794,457204,1889,9999,7.23,H,Electricity,61.78,8110
