ipc_subclass,total_patents,granted_patents,grant_rate
A61K,16083074,7966039,49.53
G06F,10412010,5589802,53.69
H01L,9471825,5556852,58.67
A61P,8247430,3821222,46.33
C07D,7405343,4238182,57.23
H04N,6491533,3763108,57.97
G01N,5794385,3401386,58.7
C07C,5468323,3458852,63.25
H04L,4753867,2860973,60.18
H01M,4637919,2589996,55.84
B01D,4478191,3071674,68.59
A61B,4193367,2520166,60.1
H04W,4061415,2349272,57.84
B29C,4035633,2620387,64.93
B65D,4023279,2727268,67.79
C12N,3589114,1762958,49.12
C08L,3246214,1759658,54.21
G06Q,3147276,1170566,37.19
B32B,3064731,1933391,63.09
B01J,2871288,1777732,61.91
G02B,2752903,1572577,57.12
G11B,2665365,1457587,54.69
B65G,2393580,1714104,71.61
C08F,2367592,1482477,62.62
H05K,2315137,1466969,63.36
C07K,2309789,1151196,49.84
H01R,2287837,1637614,71.58
C02F,2184105,1356039,62.09
C08K,2169359,1057143,48.73
H04B,2129321,1290205,60.59
C08G,2121113,1258809,59.35
F21V,2077722,1569789,75.55
A23L,2020000,900525,44.58
A61M,1981708,1284640,64.82
B23K,1944740,1286139,66.13
C09D,1935126,977424,50.51
A01N,1893851,989896,52.27
G01R,1866553,1191126,63.81
A61F,1856610,1174477,63.26
G06T,1825843,936089,51.27
H02K,1823338,1095766,60.1
B65H,1785494,1214958,68.05
F24F,1764830,1137204,64.44
C04B,1660579,933829,56.24
H01H,1583608,1033682,65.27
B24B,1564957,1153535,73.71
F16H,1542784,1007657,65.31
B41J,1539139,864626,56.18
G06K,1536315,890623,57.97
F16K,1524058,1089618,71.49
C23C,1482964,851504,57.42
F16L,1478709,1033894,69.92
B60R,1475056,894734,60.66
H04M,1473238,825335,56.02
A61L,1449036,858365,59.24
E21B,1444206,1010009,69.94
G02F,1435768,824852,57.45
B08B,1423747,1067860,75.0
E04B,1374977,947623,68.92
H02J,1366396,790242,57.83
B01F,1355826,1052428,77.62
H05B,1330582,798413,60.0
G03G,1311065,661664,50.47
C22C,1309090,739100,56.46
B65B,1299404,920397,70.83
H01J,1281549,748673,58.42
G01S,1272783,730725,57.41
B21D,1210189,886503,73.25
H01B,1202093,777559,64.68
B62D,1174209,747546,63.66
G06N,1166048,474838,40.72
A01G,1150868,705728,61.32
H01F,1142515,705794,61.78
C11D,1139583,601540,52.79
C09K,1123641,642008,57.14
G01B,1114486,727681,65.29
B02C,1111920,847754,76.24
G03B,1108982,631797,56.97
B23Q,1108808,814710,73.48
A47J,1087454,753045,69.25
E06B,1066949,764466,71.65
F26B,1063213,811934,76.37
A47B,1050895,770551,73.32
H01Q,1047226,647360,61.82
A61Q,1047226,529495,50.56
F04D,1026663,721794,70.3
G09G,1018070,578309,56.8
G11C,1009180,700597,69.42
C08J,1004559,562800,56.02
C12Q,990090,455725,46.03
G06V,985169,392438,39.83
C09J,967408,509378,52.65
F16D,965474,626477,64.89
G09F,961443,572698,59.57
A63B,961162,621738,64.69
B05B,954643,674416,70.65
A01K,951076,620541,65.25
C01B,919655,553136,60.15
F02M,916755,549104,59.9
A63F,900783,512644,56.91
F16C,890568,551034,61.87
H02M,879236,537603,61.14
B60K,874313,527702,60.36
F16B,864195,568005,65.73
G03F,862193,493037,57.18
F04B,858091,564521,65.79
F02D,854956,515408,60.28
D06M,851092,456264,53.61
G08B,849889,509739,59.98
G05B,839078,482622,57.52
F16F,816044,553225,67.79
E02D,812060,548296,67.52
B26D,811816,625319,77.03
E05B,810477,574758,70.92
C12P,797076,444250,55.73
B60W,776540,424796,54.7
H03K,764495,492473,64.42
A47C,762512,528993,69.38
A47L,760748,484847,63.73
F16M,753780,612644,81.28
H04R,752419,469470,62.39
E04G,751480,542687,72.22
G10L,732199,408518,55.79
H02G,712511,497337,69.8
E04H,712179,495014,69.51
B25J,711567,431649,60.66
B22D,704042,457620,65.0
C07F,703599,438012,62.25
H02P,701310,413578,58.97
F25B,696338,419275,60.21
F02B,695655,430608,61.9
G01C,688357,416946,60.57
H02B,684570,545129,79.63
E04F,681485,458501,67.28
G01M,681221,455332,66.84
F21S,679819,475194,69.9
B60L,678068,386940,57.07
H01S,675600,390086,57.74
A23K,663586,210432,31.71
F25D,657497,405034,61.6
G05D,656782,405089,61.68
D06F,655313,392805,59.94
B60T,652169,410024,62.87
B66C,633703,438955,69.27
B07B,623179,490903,78.77
H01G,617787,352458,57.05
B25B,610711,462410,75.72
F01N,602457,366777,60.88
A61N,592299,350790,59.23
C21D,589868,369652,62.67
G01F,583700,385342,66.02
B05D,582208,332418,57.1
B23B,574699,411703,71.64
A47G,574476,363557,63.28
C03C,573837,334483,58.29
A41D,571805,379315,66.34
A61G,564992,405649,71.8
G09B,560988,351390,62.64
G01D,552984,341858,61.82
C12M,544969,342067,62.77
A61H,539988,357060,66.12
B63B,528957,321063,60.7
C22B,517686,322763,62.35
