applicant,nuts_code,filing_year,appln_count,federal_state_code,federal_state_name,landkreis_name
ROBERT BOSCH GMBH,DE111,2019,937,DE1,Baden-Württemberg,"Stuttgart, Landeshauptstadt"
Mahle International GmbH,DE111,2019,54,DE1,Baden-Württemberg,"Stuttgart, Landeshauptstadt"
Robert Bosch GmbH,DE111,2019,29,DE1,Baden-Württemberg,"Stuttgart, Landeshauptstadt"
Universität Stuttgart,DE111,2019,19,DE1,Baden-Württemberg,"Stuttgart, Landeshauptstadt"
Dr.Ing. h.c. F. Porsche Aktiengesellschaft,DE111,2019,13,DE1,Baden-Württemberg,"Stuttgart, Landeshauptstadt"
"SCHUMANN, Michael",DE111,2019,8,DE1,Baden-Württemberg,"Stuttgart, Landeshauptstadt"
"Buchkremer, Anne",DE111,2019,7,DE1,Baden-Württemberg,"Stuttgart, Landeshauptstadt"
"Stein, Benedikt",DE111,2019,7,DE1,Baden-Württemberg,"Stuttgart, Landeshauptstadt"
odelo GmbH,DE111,2019,6,DE1,Baden-Württemberg,"Stuttgart, Landeshauptstadt"
"Schelling, Christoph",DE111,2019,6,DE1,Baden-Württemberg,"Stuttgart, Landeshauptstadt"
Coperion GmbH,DE111,2019,6,DE1,Baden-Württemberg,"Stuttgart, Landeshauptstadt"
"SCHMID, Florian",DE111,2019,5,DE1,Baden-Württemberg,"Stuttgart, Landeshauptstadt"
"LOESCH, Benedikt",DE111,2019,5,DE1,Baden-Württemberg,"Stuttgart, Landeshauptstadt"
"THIELEN, Joerg",DE111,2019,5,DE1,Baden-Württemberg,"Stuttgart, Landeshauptstadt"
"Husnik, Martin",DE111,2019,5,DE1,Baden-Württemberg,"Stuttgart, Landeshauptstadt"
Flint Group Germany GmbH,DE111,2019,4,DE1,Baden-Württemberg,"Stuttgart, Landeshauptstadt"
Baden-Württemberg Stiftung gGmbH,DE111,2019,4,DE1,Baden-Württemberg,"Stuttgart, Landeshauptstadt"
"Spatz, Joachim P.",DE111,2019,3,DE1,Baden-Württemberg,"Stuttgart, Landeshauptstadt"
Dr. Ing. h.c. F. Porsche AG,DE111,2019,3,DE1,Baden-Württemberg,"Stuttgart, Landeshauptstadt"
"Kuhne, Oliver",DE111,2019,3,DE1,Baden-Württemberg,"Stuttgart, Landeshauptstadt"
"KATZ, Martin",DE111,2019,3,DE1,Baden-Württemberg,"Stuttgart, Landeshauptstadt"
"Sawodny, Oliver",DE111,2019,3,DE1,Baden-Württemberg,"Stuttgart, Landeshauptstadt"
"GOETTING, Gunther",DE111,2019,3,DE1,Baden-Württemberg,"Stuttgart, Landeshauptstadt"
"Segret, Mickael",DE111,2019,3,DE1,Baden-Württemberg,"Stuttgart, Landeshauptstadt"
"KLEE, Christoph",DE111,2019,3,DE1,Baden-Württemberg,"Stuttgart, Landeshauptstadt"
"Rupp, Jochen",DE111,2019,3,DE1,Baden-Württemberg,"Stuttgart, Landeshauptstadt"
"ROEHM, Heiko",DE111,2019,3,DE1,Baden-Württemberg,"Stuttgart, Landeshauptstadt"
"SUENNER, Thomas",DE111,2019,3,DE1,Baden-Württemberg,"Stuttgart, Landeshauptstadt"
"SCHADOW, Joachim",DE111,2019,3,DE1,Baden-Württemberg,"Stuttgart, Landeshauptstadt"
"Gorke, Peter",DE111,2019,3,DE1,Baden-Württemberg,"Stuttgart, Landeshauptstadt"
"DAECKE, Dirk",DE111,2019,3,DE1,Baden-Württemberg,"Stuttgart, Landeshauptstadt"
"Hein, Martin",DE111,2019,3,DE1,Baden-Württemberg,"Stuttgart, Landeshauptstadt"
"Förstner, Dirk",DE111,2019,2,DE1,Baden-Württemberg,"Stuttgart, Landeshauptstadt"
"Klein, Siegfried",DE111,2019,2,DE1,Baden-Württemberg,"Stuttgart, Landeshauptstadt"
"Rau, Andreas",DE111,2019,2,DE1,Baden-Württemberg,"Stuttgart, Landeshauptstadt"
"EWERT, Sebastian",DE111,2019,2,DE1,Baden-Württemberg,"Stuttgart, Landeshauptstadt"
"GRONLE, Marc",DE111,2019,2,DE1,Baden-Württemberg,"Stuttgart, Landeshauptstadt"
Zentrum für Sonnenenergie- und Wasserstoff-Forschung Baden-Württemberg,DE111,2019,2,DE1,Baden-Württemberg,"Stuttgart, Landeshauptstadt"
"Spielmann, Ralf",DE111,2019,2,DE1,Baden-Württemberg,"Stuttgart, Landeshauptstadt"
Daimler AG,DE111,2019,2,DE1,Baden-Württemberg,"Stuttgart, Landeshauptstadt"
"Curcic, Michael",DE111,2019,2,DE1,Baden-Württemberg,"Stuttgart, Landeshauptstadt"
"SCHUMANN, Philipp",DE111,2019,2,DE1,Baden-Württemberg,"Stuttgart, Landeshauptstadt"
"GLEITER, Andreas",DE111,2019,2,DE1,Baden-Württemberg,"Stuttgart, Landeshauptstadt"
Behr-Hella Thermocontrol GmbH,DE111,2019,2,DE1,Baden-Württemberg,"Stuttgart, Landeshauptstadt"
"LOVRIC, Markan",DE111,2019,2,DE1,Baden-Württemberg,"Stuttgart, Landeshauptstadt"
